|dates|Burke_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Burke_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Burke_NorthDakota_UnitedStates.Male_Total_Population.data|Burke_NorthDakota_UnitedStates.Male_Total_Population.missing|Burke_NorthDakota_UnitedStates.Female_Total_Population.data|Burke_NorthDakota_UnitedStates.Female_Total_Population.missing|Burke_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Burke_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-18|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-19|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-20|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-21|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-22|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-23|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-24|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-25|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-26|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-27|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-28|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-29|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-30|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-10-31|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-01|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-02|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-03|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-04|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-05|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-06|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-07|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-08|436.0|0|1095.0|0|1005.0|0|526.0|0
