|dates|Yates_NewYork_UnitedStates.JHU_ConfirmedCases.data|Yates_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Yates_NewYork_UnitedStates.NYT_ConfirmedCases.data|Yates_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Yates_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Yates_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Yates_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Yates_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1588.0|0|1588.0|0|27.0|0|0.0|100
0|2021-10-18|1605.0|0|1605.0|0|28.0|0|0.0|100
0|2021-10-19|1610.0|0|1610.0|0|28.0|0|0.0|100
0|2021-10-20|1631.0|0|1631.0|0|28.0|0|0.0|100
0|2021-10-21|1647.0|0|1647.0|0|28.0|0|0.0|100
0|2021-10-22|1657.0|0|1657.0|0|28.0|0|0.0|100
0|2021-10-23|1667.0|0|1667.0|0|28.0|0|0.0|100
0|2021-10-24|1673.0|0|1673.0|0|28.0|0|0.0|100
0|2021-10-25|1677.0|0|1677.0|0|28.0|0|0.0|100
0|2021-10-26|1678.0|0|1678.0|0|28.0|0|0.0|100
0|2021-10-27|1691.0|0|1691.0|0|29.0|0|0.0|100
0|2021-10-28|1695.0|0|1695.0|0|29.0|0|0.0|100
0|2021-10-29|1704.0|0|1704.0|0|29.0|0|0.0|100
0|2021-10-30|1713.0|0|1713.0|0|29.0|0|0.0|100
0|2021-10-31|1716.0|0|1716.0|0|29.0|0|0.0|100
0|2021-11-01|1725.0|0|1725.0|0|29.0|0|0.0|100
0|2021-11-02|1730.0|0|1730.0|0|29.0|0|0.0|100
0|2021-11-03|1738.0|0|1738.0|0|30.0|0|0.0|100
0|2021-11-04|1744.0|0|1744.0|0|30.0|0|0.0|100
0|2021-11-05|1751.0|0|1751.0|0|30.0|0|0.0|100
0|2021-11-06|1761.0|0|1761.0|0|30.0|0|0.0|100
0|2021-11-07|1773.0|0|1773.0|0|30.0|0|0.0|100
0|2021-11-08|1775.0|0|1775.0|0|30.0|0|0.0|100
0|2021-11-09|1791.0|0|1791.0|0|30.0|0|0.0|100
0|2021-11-10|1791.0|0|1797.0|0|30.0|0|0.0|100
0|2021-11-11|1805.0|0|1805.0|0|30.0|0|0.0|100
0|2021-11-12|1814.0|0|1814.0|0|30.0|0|0.0|100
