|dates|Crawford_Michigan_UnitedStates.JHU_ConfirmedCases.data|Crawford_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Crawford_Michigan_UnitedStates.NYT_ConfirmedCases.data|Crawford_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Crawford_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Crawford_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Crawford_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Crawford_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1242.0|0|1242.0|0|16.0|0|0.0|100
0|2021-10-18|1261.0|0|1261.0|0|16.0|0|0.0|100
0|2021-10-19|1261.0|0|1261.0|0|16.0|0|0.0|100
0|2021-10-20|1299.0|0|1299.0|0|16.0|0|0.0|100
0|2021-10-21|1299.0|0|1299.0|0|16.0|0|0.0|100
0|2021-10-22|1323.0|0|1323.0|0|16.0|0|0.0|100
0|2021-10-23|1323.0|0|1323.0|0|16.0|0|0.0|100
0|2021-10-24|1323.0|0|1323.0|0|16.0|0|0.0|100
0|2021-10-25|1340.0|0|1340.0|0|16.0|0|0.0|100
0|2021-10-26|1340.0|0|1340.0|0|16.0|0|0.0|100
0|2021-10-27|1356.0|0|1356.0|0|16.0|0|0.0|100
0|2021-10-28|1356.0|0|1356.0|0|16.0|0|0.0|100
0|2021-10-29|1377.0|0|1377.0|0|17.0|0|0.0|100
0|2021-10-30|1377.0|0|1377.0|0|17.0|0|0.0|100
0|2021-10-31|1377.0|0|1377.0|0|17.0|0|0.0|100
0|2021-11-01|1398.0|0|1398.0|0|17.0|0|0.0|100
0|2021-11-02|1398.0|0|1398.0|0|17.0|0|0.0|100
0|2021-11-03|1431.0|0|1431.0|0|17.0|0|0.0|100
0|2021-11-04|1431.0|0|1431.0|0|17.0|0|0.0|100
0|2021-11-05|1457.0|0|1457.0|0|17.0|0|0.0|100
0|2021-11-06|1457.0|0|1457.0|0|17.0|0|0.0|100
0|2021-11-07|1457.0|0|1457.0|0|17.0|0|0.0|100
0|2021-11-08|1468.0|0|1468.0|0|17.0|0|0.0|100
0|2021-11-09|1468.0|0|1468.0|0|17.0|0|0.0|100
0|2021-11-10|1468.0|0|1481.0|0|17.0|0|0.0|100
0|2021-11-11|1481.0|0|1481.0|0|17.0|0|0.0|100
