|dates|Saunders_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Saunders_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Saunders_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Saunders_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Saunders_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Saunders_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Saunders_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Saunders_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3067.0|0|3067.0|0|16.0|0|0.0|100
0|2021-10-18|3091.0|0|3091.0|0|16.0|0|0.0|100
0|2021-10-19|3101.0|0|3101.0|0|16.0|0|0.0|100
0|2021-10-20|3106.0|0|3106.0|0|16.0|0|0.0|100
0|2021-10-21|3111.0|0|3111.0|0|16.0|0|0.0|100
0|2021-10-22|3111.0|0|3111.0|0|16.0|0|0.0|100
0|2021-10-23|3111.0|0|3111.0|0|16.0|0|0.0|100
0|2021-10-24|3111.0|0|3111.0|0|16.0|0|0.0|100
0|2021-10-25|3111.0|0|3111.0|0|16.0|0|0.0|100
0|2021-10-26|3111.0|0|3111.0|0|16.0|0|0.0|100
0|2021-10-27|3138.0|0|3138.0|0|16.0|0|0.0|100
0|2021-10-28|3138.0|0|3138.0|0|16.0|0|0.0|100
0|2021-10-29|3138.0|0|3149.0|0|16.0|0|0.0|100
0|2021-10-30|3138.0|0|3149.0|0|16.0|0|0.0|100
0|2021-10-31|3138.0|0|3157.0|0|16.0|0|0.0|100
0|2021-11-01|3138.0|0|3173.0|0|16.0|0|0.0|100
0|2021-11-02|3138.0|0|3173.0|0|16.0|0|0.0|100
0|2021-11-03|3193.0|0|3193.0|0|16.0|0|0.0|100
0|2021-11-04|3193.0|0|3193.0|0|16.0|0|0.0|100
0|2021-11-05|3193.0|0|3193.0|0|16.0|0|0.0|100
0|2021-11-06|3193.0|0|3193.0|0|16.0|0|0.0|100
0|2021-11-07|3193.0|0|3193.0|0|16.0|0|0.0|100
0|2021-11-08|3264.0|0|3264.0|0|16.0|0|0.0|100
0|2021-11-09|3285.0|0|3285.0|0|16.0|0|0.0|100
0|2021-11-10|3285.0|0|3296.0|0|16.0|0|0.0|100
0|2021-11-11|3320.0|0|3320.0|0|16.0|0|0.0|100
0|2021-11-12|3331.0|0|3331.0|0|16.0|0|0.0|100
