|dates|Toole_Montana_UnitedStates.JHU_ConfirmedCases.data|Toole_Montana_UnitedStates.JHU_ConfirmedCases.missing|Toole_Montana_UnitedStates.NYT_ConfirmedCases.data|Toole_Montana_UnitedStates.NYT_ConfirmedCases.missing|Toole_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Toole_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Toole_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Toole_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|945.0|0|945.0|0|12.0|0|0.0|100
0|2021-10-18|946.0|0|946.0|0|13.0|0|0.0|100
0|2021-10-19|949.0|0|949.0|0|13.0|0|0.0|100
0|2021-10-20|949.0|0|949.0|0|13.0|0|0.0|100
0|2021-10-21|954.0|0|954.0|0|13.0|0|0.0|100
0|2021-10-22|955.0|0|955.0|0|14.0|0|0.0|100
0|2021-10-23|955.0|0|955.0|0|14.0|0|0.0|100
0|2021-10-24|955.0|0|955.0|0|14.0|0|0.0|100
0|2021-10-25|955.0|0|955.0|0|14.0|0|0.0|100
0|2021-10-26|962.0|0|962.0|0|15.0|0|0.0|100
0|2021-10-27|966.0|0|966.0|0|15.0|0|0.0|100
0|2021-10-28|966.0|0|966.0|0|15.0|0|0.0|100
0|2021-10-29|970.0|0|970.0|0|16.0|0|0.0|100
0|2021-10-30|970.0|0|970.0|0|16.0|0|0.0|100
0|2021-10-31|970.0|0|970.0|0|16.0|0|0.0|100
0|2021-11-01|974.0|0|974.0|0|16.0|0|0.0|100
0|2021-11-02|981.0|0|981.0|0|16.0|0|0.0|100
0|2021-11-03|982.0|0|982.0|0|16.0|0|0.0|100
0|2021-11-04|986.0|0|986.0|0|16.0|0|0.0|100
0|2021-11-05|986.0|0|986.0|0|16.0|0|0.0|100
0|2021-11-06|986.0|0|986.0|0|16.0|0|0.0|100
0|2021-11-07|986.0|0|986.0|0|16.0|0|0.0|100
0|2021-11-08|986.0|0|986.0|0|16.0|0|0.0|100
0|2021-11-09|990.0|0|990.0|0|16.0|0|0.0|100
0|2021-11-10|990.0|0|991.0|0|16.0|0|0.0|100
0|2021-11-11|991.0|0|991.0|0|17.0|0|0.0|100
0|2021-11-12|991.0|0|991.0|0|17.0|0|0.0|100
0|2021-11-13|991.0|0|991.0|0|17.0|0|0.0|100
0|2021-11-14|991.0|0|991.0|0|17.0|0|0.0|100
0|2021-11-15|991.0|0|991.0|0|18.0|0|0.0|100
