|dates|Logan_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_Illinois_UnitedStates.Male_Total_Population.data|Logan_Illinois_UnitedStates.Male_Total_Population.missing|Logan_Illinois_UnitedStates.Female_Total_Population.data|Logan_Illinois_UnitedStates.Female_Total_Population.missing|Logan_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-18|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-19|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-20|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-21|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-22|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-23|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-24|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-25|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-26|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-27|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-28|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-29|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-30|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-10-31|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-01|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-02|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-03|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-04|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-05|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-06|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-07|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-08|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-09|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-10|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-11|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-12|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-13|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-14|5285.0|0|14685.0|0|14240.0|0|5599.0|0
0|2021-11-15|5285.0|0|14685.0|0|14240.0|0|5599.0|0
