|dates|Lyon_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Lyon_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Lyon_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Lyon_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Lyon_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Lyon_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Lyon_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Lyon_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1925.0|0|1925.0|0|26.0|0|0.0|100
0|2021-10-18|1936.0|0|1936.0|0|26.0|0|0.0|100
0|2021-10-19|1942.0|0|1942.0|0|26.0|0|0.0|100
0|2021-10-20|1943.0|0|1943.0|0|26.0|0|0.0|100
0|2021-10-21|1944.0|0|1944.0|0|26.0|0|0.0|100
0|2021-10-22|1944.0|0|1944.0|0|26.0|0|0.0|100
0|2021-10-23|1944.0|0|1944.0|0|26.0|0|0.0|100
0|2021-10-24|1944.0|0|1944.0|0|26.0|0|0.0|100
0|2021-10-25|1945.0|0|1945.0|0|26.0|0|0.0|100
0|2021-10-26|1947.0|0|1947.0|0|26.0|0|0.0|100
0|2021-10-27|1950.0|0|1950.0|0|26.0|0|0.0|100
0|2021-10-28|1953.0|0|1953.0|0|26.0|0|0.0|100
0|2021-10-29|1961.0|0|1961.0|0|26.0|0|0.0|100
0|2021-10-30|1961.0|0|1961.0|0|26.0|0|0.0|100
0|2021-10-31|1961.0|0|1961.0|0|26.0|0|0.0|100
0|2021-11-01|1964.0|0|1964.0|0|26.0|0|0.0|100
0|2021-11-02|1966.0|0|1966.0|0|26.0|0|0.0|100
0|2021-11-03|1969.0|0|1969.0|0|26.0|0|0.0|100
0|2021-11-04|1969.0|0|1969.0|0|26.0|0|0.0|100
0|2021-11-05|1974.0|0|1974.0|0|26.0|0|0.0|100
0|2021-11-06|1974.0|0|1974.0|0|26.0|0|0.0|100
0|2021-11-07|1974.0|0|1974.0|0|26.0|0|0.0|100
0|2021-11-08|1974.0|0|1974.0|0|26.0|0|0.0|100
0|2021-11-09|1976.0|0|1976.0|0|26.0|0|0.0|100
0|2021-11-10|1976.0|0|1980.0|0|26.0|0|0.0|100
0|2021-11-11|1980.0|0|1980.0|0|26.0|0|0.0|100
0|2021-11-12|1982.0|0|1982.0|0|26.0|0|0.0|100
0|2021-11-13|1982.0|0|1982.0|0|26.0|0|0.0|100
0|2021-11-14|1982.0|0|1982.0|0|26.0|0|0.0|100
0|2021-11-15|1986.0|0|1986.0|0|26.0|0|0.0|100
0|2021-11-16|1987.0|0|1987.0|0|26.0|0|0.0|100
0|2021-11-17|1989.0|0|1989.0|0|26.0|0|0.0|100
0|2021-11-18|1992.0|0|1992.0|0|26.0|0|0.0|100
0|2021-11-19|1992.0|0|1992.0|0|26.0|0|0.0|100
0|2021-11-20|1992.0|0|1992.0|0|26.0|0|0.0|100
0|2021-11-21|1992.0|0|1992.0|0|26.0|0|0.0|100
0|2021-11-22|1995.0|0|1995.0|0|26.0|0|0.0|100
0|2021-11-23|1996.0|0|1996.0|0|26.0|0|0.0|100
0|2021-11-24|2000.0|0|2000.0|0|26.0|0|0.0|100
0|2021-11-25|2000.0|0|2000.0|0|26.0|0|0.0|100
0|2021-11-26|2000.0|0|2000.0|0|26.0|0|0.0|100
0|2021-11-27|2000.0|0|2000.0|0|26.0|0|0.0|100
0|2021-11-28|2000.0|0|2000.0|0|26.0|0|0.0|100
0|2021-11-29|2009.0|0|2009.0|0|26.0|0|0.0|100
0|2021-11-30|2012.0|0|2012.0|0|26.0|0|0.0|100
0|2021-12-01|2020.0|0|2020.0|0|26.0|0|0.0|100
0|2021-12-02|2020.0|0|2022.0|0|26.0|0|0.0|100
0|2021-12-03|2025.0|0|2025.0|0|26.0|0|0.0|100
0|2021-12-04|2025.0|0|2025.0|0|26.0|0|0.0|100
0|2021-12-05|2025.0|0|2025.0|0|26.0|0|0.0|100
0|2021-12-06|2034.0|0|2034.0|0|27.0|0|0.0|100
0|2021-12-07|2043.0|0|2043.0|0|27.0|0|0.0|100
0|2021-12-08|2047.0|0|2047.0|0|28.0|0|0.0|100
0|2021-12-09|2054.0|0|2054.0|0|28.0|0|0.0|100
0|2021-12-10|2061.0|0|2061.0|0|28.0|0|0.0|100
0|2021-12-11|2061.0|0|2061.0|0|28.0|0|0.0|100
0|2021-12-12|2061.0|0|2061.0|0|28.0|0|0.0|100
0|2021-12-13|2065.0|0|2065.0|0|29.0|0|0.0|100
0|2021-12-14|2065.0|0|2065.0|0|29.0|0|0.0|100
0|2021-12-15|2073.0|0|2073.0|0|29.0|0|0.0|100
0|2021-12-16|2074.0|0|2074.0|0|29.0|0|0.0|100
0|2021-12-17|2076.0|0|2076.0|0|29.0|0|0.0|100
0|2021-12-18|2076.0|0|2076.0|0|29.0|0|0.0|100
0|2021-12-19|2076.0|0|2076.0|0|29.0|0|0.0|100
0|2021-12-20|2082.0|0|2082.0|0|29.0|0|0.0|100
0|2021-12-21|2088.0|0|2088.0|0|29.0|0|0.0|100
0|2021-12-22|2091.0|0|2091.0|0|29.0|0|0.0|100
0|2021-12-23|2091.0|0|2091.0|0|29.0|0|0.0|100
