|dates|Grundy_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Grundy_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Grundy_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Grundy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Grundy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2778.0|0|2778.0|0|37.0|0|0.0|100
0|2021-10-18|2788.0|0|2788.0|0|37.0|0|0.0|100
0|2021-10-19|2790.0|0|2790.0|0|37.0|0|0.0|100
0|2021-10-20|2800.0|0|2800.0|0|37.0|0|0.0|100
0|2021-10-21|2813.0|0|2813.0|0|37.0|0|0.0|100
0|2021-10-22|2819.0|0|2819.0|0|37.0|0|0.0|100
0|2021-10-23|2819.0|0|2819.0|0|37.0|0|0.0|100
0|2021-10-24|2819.0|0|2819.0|0|37.0|0|0.0|100
0|2021-10-25|2819.0|0|2819.0|0|37.0|0|0.0|100
0|2021-10-26|2833.0|0|2833.0|0|37.0|0|0.0|100
0|2021-10-27|2836.0|0|2836.0|0|38.0|0|0.0|100
0|2021-10-28|2842.0|0|2842.0|0|38.0|0|0.0|100
0|2021-10-29|2847.0|0|2847.0|0|38.0|0|0.0|100
0|2021-10-30|2847.0|0|2847.0|0|38.0|0|0.0|100
0|2021-10-31|2847.0|0|2847.0|0|38.0|0|0.0|100
0|2021-11-01|2847.0|0|2847.0|0|38.0|0|0.0|100
0|2021-11-02|2857.0|0|2857.0|0|38.0|0|0.0|100
0|2021-11-03|2863.0|0|2863.0|0|38.0|0|0.0|100
0|2021-11-04|2864.0|0|2864.0|0|39.0|0|0.0|100
0|2021-11-05|2868.0|0|2868.0|0|39.0|0|0.0|100
0|2021-11-06|2868.0|0|2868.0|0|39.0|0|0.0|100
0|2021-11-07|2868.0|0|2868.0|0|39.0|0|0.0|100
0|2021-11-08|2868.0|0|2868.0|0|39.0|0|0.0|100
0|2021-11-09|2883.0|0|2883.0|0|39.0|0|0.0|100
0|2021-11-10|2891.0|0|2891.0|0|39.0|0|0.0|100
0|2021-11-11|2891.0|0|2891.0|0|39.0|0|0.0|100
0|2021-11-12|2901.0|0|2901.0|0|39.0|0|0.0|100
0|2021-11-13|2901.0|0|2901.0|0|39.0|0|0.0|100
0|2021-11-14|2901.0|0|2901.0|0|39.0|0|0.0|100
0|2021-11-15|2906.0|0|2906.0|0|39.0|0|0.0|100
0|2021-11-16|2909.0|0|2909.0|0|40.0|0|0.0|100
0|2021-11-17|2915.0|0|2915.0|0|40.0|0|0.0|100
0|2021-11-18|2919.0|0|2919.0|0|40.0|0|0.0|100
0|2021-11-19|2920.0|0|2920.0|0|40.0|0|0.0|100
0|2021-11-20|2920.0|0|2920.0|0|40.0|0|0.0|100
0|2021-11-21|2920.0|0|2920.0|0|40.0|0|0.0|100
0|2021-11-22|2923.0|0|2923.0|0|41.0|0|0.0|100
0|2021-11-23|2927.0|0|2927.0|0|42.0|0|0.0|100
0|2021-11-24|2928.0|0|2928.0|0|42.0|0|0.0|100
0|2021-11-25|2928.0|0|2928.0|0|42.0|0|0.0|100
0|2021-11-26|2928.0|0|2928.0|0|42.0|0|0.0|100
0|2021-11-27|2928.0|0|2928.0|0|42.0|0|0.0|100
0|2021-11-28|2928.0|0|2928.0|0|42.0|0|0.0|100
0|2021-11-29|2929.0|0|2929.0|0|42.0|0|0.0|100
0|2021-11-30|2933.0|0|2933.0|0|42.0|0|0.0|100
0|2021-12-01|2937.0|0|2937.0|0|42.0|0|0.0|100
0|2021-12-02|2941.0|0|2941.0|0|43.0|0|0.0|100
0|2021-12-03|2941.0|0|2941.0|0|43.0|0|0.0|100
0|2021-12-04|2941.0|0|2941.0|0|43.0|0|0.0|100
0|2021-12-05|2941.0|0|2941.0|0|43.0|0|0.0|100
0|2021-12-06|2945.0|0|2945.0|0|44.0|0|0.0|100
0|2021-12-07|2947.0|0|2947.0|0|44.0|0|0.0|100
0|2021-12-08|2947.0|0|2947.0|0|44.0|0|0.0|100
0|2021-12-09|2947.0|0|2947.0|0|44.0|0|0.0|100
0|2021-12-10|2955.0|0|2955.0|0|44.0|0|0.0|100
0|2021-12-11|2955.0|0|2955.0|0|44.0|0|0.0|100
0|2021-12-12|2955.0|0|2955.0|0|44.0|0|0.0|100
0|2021-12-13|2960.0|0|2960.0|0|44.0|0|0.0|100
0|2021-12-14|2960.0|0|2961.0|0|44.0|0|0.0|100
0|2021-12-15|2967.0|0|2967.0|0|45.0|0|0.0|100
0|2021-12-16|2976.0|0|2976.0|0|45.0|0|0.0|100
0|2021-12-17|2981.0|0|2981.0|0|46.0|0|0.0|100
0|2021-12-18|2981.0|0|2981.0|0|46.0|0|0.0|100
0|2021-12-19|2981.0|0|2981.0|0|46.0|0|0.0|100
0|2021-12-20|2987.0|0|2987.0|0|47.0|0|0.0|100
0|2021-12-21|2992.0|0|2992.0|0|47.0|0|0.0|100
0|2021-12-22|2996.0|0|2996.0|0|47.0|0|0.0|100
0|2021-12-23|3005.0|0|3005.0|0|64.0|0|0.0|100
0|2021-12-24|3005.0|0|3005.0|0|64.0|0|0.0|100
0|2021-12-25|3005.0|0|3005.0|0|64.0|0|0.0|100
0|2021-12-26|3005.0|0|3005.0|0|64.0|0|0.0|100
0|2021-12-27|3012.0|0|3012.0|0|64.0|0|0.0|100
0|2021-12-28|3018.0|0|3018.0|0|64.0|0|0.0|100
0|2021-12-29|3023.0|0|3023.0|0|64.0|0|0.0|100
0|2021-12-30|3033.0|0|3033.0|0|64.0|0|0.0|100
0|2021-12-31|3033.0|0|3033.0|0|64.0|0|0.0|100
0|2022-01-01|3033.0|0|3033.0|0|64.0|0|0.0|100
0|2022-01-02|3033.0|0|3033.0|0|64.0|0|0.0|100
0|2022-01-03|3063.0|0|3063.0|0|64.0|0|0.0|100
0|2022-01-04|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-05|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-06|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-07|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-08|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-09|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-10|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-11|3067.0|0|3067.0|0|64.0|0|0.0|100
0|2022-01-12|3142.0|0|3142.0|0|64.0|0|0.0|100
0|2022-01-13|3142.0|0|3142.0|0|64.0|0|0.0|100
0|2022-01-14|3142.0|0|3142.0|0|64.0|0|0.0|100
0|2022-01-15|3142.0|0|3142.0|0|64.0|0|0.0|100
0|2022-01-16|3142.0|0|3142.0|0|64.0|0|0.0|100
0|2022-01-17|3142.0|0|0.0|100|64.0|0|0.0|100
