|dates|Lee_Texas_UnitedStates.JHU_ConfirmedCases.data|Lee_Texas_UnitedStates.JHU_ConfirmedCases.missing|Lee_Texas_UnitedStates.NYT_ConfirmedCases.data|Lee_Texas_UnitedStates.NYT_ConfirmedCases.missing|Lee_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2906.0|0|2906.0|0|49.0|0|0.0|100
0|2021-10-18|2914.0|0|2914.0|0|49.0|0|0.0|100
0|2021-10-19|2920.0|0|2920.0|0|49.0|0|0.0|100
0|2021-10-20|2923.0|0|2923.0|0|49.0|0|0.0|100
0|2021-10-21|2924.0|0|2924.0|0|50.0|0|0.0|100
0|2021-10-22|2926.0|0|2926.0|0|50.0|0|0.0|100
0|2021-10-23|2932.0|0|2932.0|0|50.0|0|0.0|100
0|2021-10-24|2932.0|0|2932.0|0|50.0|0|0.0|100
0|2021-10-25|2936.0|0|2936.0|0|50.0|0|0.0|100
0|2021-10-26|2941.0|0|2941.0|0|50.0|0|0.0|100
0|2021-10-27|2943.0|0|2943.0|0|51.0|0|0.0|100
0|2021-10-28|2943.0|0|2943.0|0|51.0|0|0.0|100
0|2021-10-29|2950.0|0|2950.0|0|51.0|0|0.0|100
0|2021-10-30|2954.0|0|2954.0|0|51.0|0|0.0|100
0|2021-10-31|2954.0|0|2954.0|0|51.0|0|0.0|100
0|2021-11-01|2959.0|0|2959.0|0|51.0|0|0.0|100
0|2021-11-02|2961.0|0|2961.0|0|51.0|0|0.0|100
0|2021-11-03|2962.0|0|2962.0|0|51.0|0|0.0|100
0|2021-11-04|2962.0|0|2962.0|0|51.0|0|0.0|100
0|2021-11-05|2962.0|0|2962.0|0|51.0|0|0.0|100
0|2021-11-06|2965.0|0|2965.0|0|52.0|0|0.0|100
0|2021-11-07|2965.0|0|2965.0|0|52.0|0|0.0|100
0|2021-11-08|2967.0|0|2967.0|0|52.0|0|0.0|100
0|2021-11-09|2969.0|0|2969.0|0|53.0|0|0.0|100
0|2021-11-10|2969.0|0|2969.0|0|53.0|0|0.0|100
0|2021-11-11|2969.0|0|2969.0|0|54.0|0|0.0|100
0|2021-11-12|2969.0|0|2969.0|0|54.0|0|0.0|100
0|2021-11-13|2969.0|0|2969.0|0|54.0|0|0.0|100
0|2021-11-14|2971.0|0|2971.0|0|54.0|0|0.0|100
0|2021-11-15|2971.0|0|2971.0|0|54.0|0|0.0|100
0|2021-11-16|2973.0|0|2973.0|0|54.0|0|0.0|100
0|2021-11-17|2975.0|0|2975.0|0|54.0|0|0.0|100
0|2021-11-18|2976.0|0|2976.0|0|54.0|0|0.0|100
0|2021-11-19|2976.0|0|2976.0|0|54.0|0|0.0|100
0|2021-11-20|2977.0|0|2977.0|0|54.0|0|0.0|100
0|2021-11-21|2977.0|0|2977.0|0|54.0|0|0.0|100
0|2021-11-22|2978.0|0|2978.0|0|54.0|0|0.0|100
0|2021-11-23|2979.0|0|2979.0|0|54.0|0|0.0|100
0|2021-11-24|2982.0|0|2982.0|0|54.0|0|0.0|100
0|2021-11-25|2982.0|0|2982.0|0|54.0|0|0.0|100
