|dates|Ontario_NewYork_UnitedStates.JHU_ConfirmedCases.data|Ontario_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Ontario_NewYork_UnitedStates.NYT_ConfirmedCases.data|Ontario_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Ontario_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Ontario_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Ontario_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Ontario_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9244.0|0|9244.0|0|110.0|0|0.0|100
0|2021-10-18|9278.0|0|9278.0|0|110.0|0|0.0|100
0|2021-10-19|9296.0|0|9296.0|0|110.0|0|0.0|100
0|2021-10-20|9321.0|0|9321.0|0|110.0|0|0.0|100
0|2021-10-21|9352.0|0|9352.0|0|110.0|0|0.0|100
0|2021-10-22|9378.0|0|9378.0|0|110.0|0|0.0|100
0|2021-10-23|9423.0|0|9423.0|0|110.0|0|0.0|100
0|2021-10-24|9436.0|0|9436.0|0|110.0|0|0.0|100
0|2021-10-25|9467.0|0|9467.0|0|111.0|0|0.0|100
0|2021-10-26|9480.0|0|9480.0|0|111.0|0|0.0|100
0|2021-10-27|9520.0|0|9520.0|0|111.0|0|0.0|100
0|2021-10-28|9553.0|0|9553.0|0|111.0|0|0.0|100
0|2021-10-29|9598.0|0|9598.0|0|111.0|0|0.0|100
0|2021-10-30|9627.0|0|9627.0|0|111.0|0|0.0|100
0|2021-10-31|9677.0|0|9677.0|0|111.0|0|0.0|100
0|2021-11-01|9722.0|0|9722.0|0|111.0|0|0.0|100
0|2021-11-02|9754.0|0|9754.0|0|111.0|0|0.0|100
0|2021-11-03|9829.0|0|9829.0|0|111.0|0|0.0|100
0|2021-11-04|9891.0|0|9891.0|0|111.0|0|0.0|100
0|2021-11-05|9944.0|0|9944.0|0|111.0|0|0.0|100
0|2021-11-06|10004.0|0|10004.0|0|111.0|0|0.0|100
0|2021-11-07|10065.0|0|10065.0|0|111.0|0|0.0|100
0|2021-11-08|10114.0|0|10114.0|0|111.0|0|0.0|100
0|2021-11-09|10185.0|0|10185.0|0|111.0|0|0.0|100
0|2021-11-10|10258.0|0|10258.0|0|111.0|0|0.0|100
