|dates|Schley_Georgia_UnitedStates.JHU_ConfirmedCases.data|Schley_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Schley_Georgia_UnitedStates.NYT_ConfirmedCases.data|Schley_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Schley_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Schley_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Schley_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Schley_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|635.0|0|638.0|0|7.0|0|0.0|100
0|2021-10-18|640.0|0|645.0|0|7.0|0|0.0|100
0|2021-10-19|642.0|0|647.0|0|8.0|0|0.0|100
0|2021-10-20|643.0|0|648.0|0|7.0|0|0.0|100
0|2021-10-21|644.0|0|649.0|0|7.0|0|0.0|100
0|2021-10-22|645.0|0|650.0|0|7.0|0|0.0|100
0|2021-10-23|645.0|0|650.0|0|7.0|0|0.0|100
0|2021-10-24|645.0|0|650.0|0|7.0|0|0.0|100
0|2021-10-25|646.0|0|650.0|0|7.0|0|0.0|100
0|2021-10-26|648.0|0|652.0|0|7.0|0|0.0|100
0|2021-10-27|652.0|0|656.0|0|7.0|0|0.0|100
0|2021-10-28|656.0|0|660.0|0|7.0|0|0.0|100
0|2021-10-29|657.0|0|661.0|0|7.0|0|0.0|100
0|2021-10-30|657.0|0|661.0|0|7.0|0|0.0|100
0|2021-10-31|657.0|0|661.0|0|7.0|0|0.0|100
0|2021-11-01|659.0|0|660.0|0|7.0|0|0.0|100
0|2021-11-02|660.0|0|661.0|0|7.0|0|0.0|100
0|2021-11-03|665.0|0|666.0|0|7.0|0|0.0|100
0|2021-11-04|667.0|0|668.0|0|7.0|0|0.0|100
0|2021-11-05|670.0|0|671.0|0|7.0|0|0.0|100
0|2021-11-06|670.0|0|671.0|0|7.0|0|0.0|100
0|2021-11-07|670.0|0|671.0|0|7.0|0|0.0|100
0|2021-11-08|670.0|0|671.0|0|7.0|0|0.0|100
0|2021-11-09|679.0|0|680.0|0|7.0|0|0.0|100
0|2021-11-10|679.0|0|684.0|0|7.0|0|0.0|100
0|2021-11-11|683.0|0|684.0|0|7.0|0|0.0|100
0|2021-11-12|688.0|0|689.0|0|7.0|0|0.0|100
0|2021-11-13|688.0|0|689.0|0|7.0|0|0.0|100
0|2021-11-14|688.0|0|689.0|0|7.0|0|0.0|100
0|2021-11-15|690.0|0|691.0|0|7.0|0|0.0|100
0|2021-11-16|690.0|0|691.0|0|7.0|0|0.0|100
0|2021-11-17|691.0|0|692.0|0|8.0|0|0.0|100
0|2021-11-18|696.0|0|697.0|0|8.0|0|0.0|100
0|2021-11-19|698.0|0|699.0|0|8.0|0|0.0|100
0|2021-11-20|698.0|0|699.0|0|8.0|0|0.0|100
0|2021-11-21|698.0|0|699.0|0|8.0|0|0.0|100
0|2021-11-22|698.0|0|700.0|0|8.0|0|0.0|100
0|2021-11-23|701.0|0|703.0|0|8.0|0|0.0|100
0|2021-11-24|701.0|0|703.0|0|8.0|0|0.0|100
0|2021-11-25|701.0|0|703.0|0|8.0|0|0.0|100
0|2021-11-26|701.0|0|703.0|0|8.0|0|0.0|100
0|2021-11-27|701.0|0|703.0|0|8.0|0|0.0|100
0|2021-11-28|701.0|0|703.0|0|8.0|0|0.0|100
0|2021-11-29|704.0|0|706.0|0|8.0|0|0.0|100
0|2021-11-30|708.0|0|710.0|0|8.0|0|0.0|100
0|2021-12-01|708.0|0|710.0|0|8.0|0|0.0|100
0|2021-12-02|708.0|0|710.0|0|8.0|0|0.0|100
0|2021-12-03|709.0|0|711.0|0|8.0|0|0.0|100
0|2021-12-04|709.0|0|711.0|0|8.0|0|0.0|100
0|2021-12-05|709.0|0|711.0|0|8.0|0|0.0|100
0|2021-12-06|711.0|0|712.0|0|8.0|0|0.0|100
0|2021-12-07|712.0|0|713.0|0|8.0|0|0.0|100
0|2021-12-08|717.0|0|718.0|0|8.0|0|0.0|100
0|2021-12-09|719.0|0|720.0|0|8.0|0|0.0|100
0|2021-12-10|719.0|0|720.0|0|8.0|0|0.0|100
0|2021-12-11|719.0|0|720.0|0|8.0|0|0.0|100
0|2021-12-12|719.0|0|720.0|0|8.0|0|0.0|100
0|2021-12-13|719.0|0|720.0|0|8.0|0|0.0|100
0|2021-12-14|719.0|0|722.0|0|8.0|0|0.0|100
0|2021-12-15|723.0|0|724.0|0|8.0|0|0.0|100
0|2021-12-16|724.0|0|725.0|0|8.0|0|0.0|100
0|2021-12-17|725.0|0|726.0|0|8.0|0|0.0|100
0|2021-12-18|725.0|0|726.0|0|8.0|0|0.0|100
0|2021-12-19|725.0|0|726.0|0|8.0|0|0.0|100
0|2021-12-20|726.0|0|728.0|0|8.0|0|0.0|100
0|2021-12-21|727.0|0|729.0|0|8.0|0|0.0|100
0|2021-12-22|729.0|0|731.0|0|8.0|0|0.0|100
0|2021-12-23|731.0|0|733.0|0|8.0|0|0.0|100
0|2021-12-24|733.0|0|735.0|0|8.0|0|0.0|100
0|2021-12-25|733.0|0|735.0|0|8.0|0|0.0|100
0|2021-12-26|733.0|0|735.0|0|8.0|0|0.0|100
0|2021-12-27|735.0|0|738.0|0|8.0|0|0.0|100
0|2021-12-28|735.0|0|738.0|0|8.0|0|0.0|100
0|2021-12-29|742.0|0|745.0|0|8.0|0|0.0|100
0|2021-12-30|744.0|0|747.0|0|8.0|0|0.0|100
0|2021-12-31|751.0|0|754.0|0|8.0|0|0.0|100
0|2022-01-01|751.0|0|754.0|0|8.0|0|0.0|100
0|2022-01-02|751.0|0|754.0|0|8.0|0|0.0|100
0|2022-01-03|751.0|0|754.0|0|8.0|0|0.0|100
0|2022-01-04|763.0|0|766.0|0|8.0|0|0.0|100
0|2022-01-05|767.0|0|770.0|0|8.0|0|0.0|100
0|2022-01-06|767.0|0|770.0|0|8.0|0|0.0|100
0|2022-01-07|767.0|0|770.0|0|8.0|0|0.0|100
0|2022-01-08|767.0|0|770.0|0|8.0|0|0.0|100
0|2022-01-09|767.0|0|770.0|0|8.0|0|0.0|100
0|2022-01-10|816.0|0|818.0|0|8.0|0|0.0|100
0|2022-01-11|838.0|0|840.0|0|8.0|0|0.0|100
0|2022-01-12|864.0|0|866.0|0|8.0|0|0.0|100
0|2022-01-13|864.0|0|888.0|0|8.0|0|0.0|100
0|2022-01-14|900.0|0|902.0|0|8.0|0|0.0|100
0|2022-01-15|900.0|0|902.0|0|8.0|0|0.0|100
0|2022-01-16|900.0|0|902.0|0|8.0|0|0.0|100
0|2022-01-17|910.0|0|0.0|100|8.0|0|0.0|100
