|dates|Schoolcraft_Michigan_UnitedStates.JHU_ConfirmedCases.data|Schoolcraft_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Schoolcraft_Michigan_UnitedStates.NYT_ConfirmedCases.data|Schoolcraft_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Schoolcraft_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Schoolcraft_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Schoolcraft_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Schoolcraft_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|753.0|0|753.0|0|5.0|0|0.0|100
0|2021-10-18|764.0|0|764.0|0|5.0|0|0.0|100
0|2021-10-19|764.0|0|764.0|0|5.0|0|0.0|100
0|2021-10-20|779.0|0|779.0|0|5.0|0|0.0|100
0|2021-10-21|779.0|0|779.0|0|5.0|0|0.0|100
0|2021-10-22|796.0|0|796.0|0|5.0|0|0.0|100
0|2021-10-23|796.0|0|796.0|0|5.0|0|0.0|100
0|2021-10-24|796.0|0|796.0|0|5.0|0|0.0|100
0|2021-10-25|798.0|0|798.0|0|5.0|0|0.0|100
0|2021-10-26|798.0|0|798.0|0|5.0|0|0.0|100
0|2021-10-27|804.0|0|804.0|0|5.0|0|0.0|100
0|2021-10-28|804.0|0|804.0|0|5.0|0|0.0|100
0|2021-10-29|816.0|0|816.0|0|5.0|0|0.0|100
0|2021-10-30|816.0|0|816.0|0|5.0|0|0.0|100
0|2021-10-31|816.0|0|816.0|0|5.0|0|0.0|100
0|2021-11-01|827.0|0|827.0|0|5.0|0|0.0|100
0|2021-11-02|827.0|0|827.0|0|5.0|0|0.0|100
0|2021-11-03|845.0|0|845.0|0|5.0|0|0.0|100
0|2021-11-04|845.0|0|845.0|0|5.0|0|0.0|100
0|2021-11-05|862.0|0|862.0|0|5.0|0|0.0|100
0|2021-11-06|862.0|0|862.0|0|5.0|0|0.0|100
0|2021-11-07|862.0|0|862.0|0|5.0|0|0.0|100
0|2021-11-08|882.0|0|882.0|0|5.0|0|0.0|100
0|2021-11-09|882.0|0|882.0|0|5.0|0|0.0|100
0|2021-11-10|882.0|0|905.0|0|5.0|0|0.0|100
0|2021-11-11|905.0|0|905.0|0|5.0|0|0.0|100
0|2021-11-12|912.0|0|912.0|0|6.0|0|0.0|100
0|2021-11-13|912.0|0|912.0|0|6.0|0|0.0|100
0|2021-11-14|912.0|0|912.0|0|6.0|0|0.0|100
