|dates|Sumter_Georgia_UnitedStates.JHU_ConfirmedCases.data|Sumter_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Sumter_Georgia_UnitedStates.NYT_ConfirmedCases.data|Sumter_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Sumter_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Sumter_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Sumter_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Sumter_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4097.0|0|4104.0|0|128.0|0|0.0|100
0|2021-10-18|4108.0|0|4115.0|0|129.0|0|0.0|100
0|2021-10-19|4118.0|0|4125.0|0|130.0|0|0.0|100
0|2021-10-20|4128.0|0|4135.0|0|131.0|0|0.0|100
0|2021-10-21|4130.0|0|4137.0|0|131.0|0|0.0|100
0|2021-10-22|4130.0|0|4137.0|0|131.0|0|0.0|100
0|2021-10-23|4130.0|0|4137.0|0|131.0|0|0.0|100
0|2021-10-24|4130.0|0|4137.0|0|131.0|0|0.0|100
0|2021-10-25|4139.0|0|4146.0|0|131.0|0|0.0|100
0|2021-10-26|4146.0|0|4153.0|0|131.0|0|0.0|100
0|2021-10-27|4151.0|0|4158.0|0|131.0|0|0.0|100
0|2021-10-28|4155.0|0|4162.0|0|132.0|0|0.0|100
0|2021-10-29|4160.0|0|4167.0|0|132.0|0|0.0|100
0|2021-10-30|4160.0|0|4167.0|0|132.0|0|0.0|100
0|2021-10-31|4160.0|0|4167.0|0|132.0|0|0.0|100
0|2021-11-01|4179.0|0|4186.0|0|133.0|0|0.0|100
0|2021-11-02|4187.0|0|4194.0|0|133.0|0|0.0|100
0|2021-11-03|4196.0|0|4203.0|0|134.0|0|0.0|100
0|2021-11-04|4209.0|0|4216.0|0|135.0|0|0.0|100
0|2021-11-05|4220.0|0|4227.0|0|135.0|0|0.0|100
0|2021-11-06|4220.0|0|4227.0|0|135.0|0|0.0|100
0|2021-11-07|4220.0|0|4227.0|0|135.0|0|0.0|100
0|2021-11-08|4220.0|0|4229.0|0|135.0|0|0.0|100
0|2021-11-09|4236.0|0|4245.0|0|135.0|0|0.0|100
0|2021-11-10|4236.0|0|4251.0|0|135.0|0|0.0|100
0|2021-11-11|4242.0|0|4251.0|0|136.0|0|0.0|100
0|2021-11-12|4260.0|0|4269.0|0|137.0|0|0.0|100
0|2021-11-13|4260.0|0|4269.0|0|137.0|0|0.0|100
0|2021-11-14|4260.0|0|4269.0|0|137.0|0|0.0|100
0|2021-11-15|4265.0|0|4274.0|0|137.0|0|0.0|100
0|2021-11-16|4268.0|0|4277.0|0|137.0|0|0.0|100
0|2021-11-17|4275.0|0|4284.0|0|137.0|0|0.0|100
0|2021-11-18|4280.0|0|4289.0|0|137.0|0|0.0|100
0|2021-11-19|4284.0|0|4293.0|0|137.0|0|0.0|100
0|2021-11-20|4284.0|0|4293.0|0|137.0|0|0.0|100
