|dates|Linn_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Linn_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Linn_Oregon_UnitedStates.Male_Total_Population.data|Linn_Oregon_UnitedStates.Male_Total_Population.missing|Linn_Oregon_UnitedStates.Female_Total_Population.data|Linn_Oregon_UnitedStates.Female_Total_Population.missing|Linn_Oregon_UnitedStates.MaleAndFemale_Under18_Population.data|Linn_Oregon_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-18|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-19|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-20|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-21|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-22|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-23|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-24|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-25|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-26|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-27|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-28|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-29|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-30|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-10-31|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-11-01|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-11-02|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-11-03|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-11-04|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-11-05|23671.0|0|62960.0|0|64375.0|0|28679.0|0
0|2021-11-06|23671.0|0|62960.0|0|64375.0|0|28679.0|0
