|dates|Wabash_Indiana_UnitedStates.JHU_ConfirmedCases.data|Wabash_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Wabash_Indiana_UnitedStates.NYT_ConfirmedCases.data|Wabash_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Wabash_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Wabash_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Wabash_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Wabash_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5250.0|0|5254.0|0|101.0|0|0.0|100
0|2021-10-18|5279.0|0|5283.0|0|101.0|0|0.0|100
0|2021-10-19|5289.0|0|5293.0|0|103.0|0|0.0|100
0|2021-10-20|5309.0|0|5313.0|0|103.0|0|0.0|100
0|2021-10-21|5324.0|0|5328.0|0|104.0|0|0.0|100
0|2021-10-22|5332.0|0|5336.0|0|104.0|0|0.0|100
0|2021-10-23|5332.0|0|5336.0|0|104.0|0|0.0|100
0|2021-10-24|5332.0|0|5336.0|0|104.0|0|0.0|100
0|2021-10-25|5363.0|0|5367.0|0|104.0|0|0.0|100
0|2021-10-26|5372.0|0|5376.0|0|104.0|0|0.0|100
0|2021-10-27|5388.0|0|5392.0|0|105.0|0|0.0|100
0|2021-10-28|5400.0|0|5404.0|0|105.0|0|0.0|100
0|2021-10-29|5421.0|0|5425.0|0|105.0|0|0.0|100
0|2021-10-30|5421.0|0|5425.0|0|105.0|0|0.0|100
0|2021-10-31|5421.0|0|5425.0|0|105.0|0|0.0|100
0|2021-11-01|5448.0|0|5452.0|0|105.0|0|0.0|100
0|2021-11-02|5454.0|0|5458.0|0|105.0|0|0.0|100
0|2021-11-03|5472.0|0|5476.0|0|105.0|0|0.0|100
0|2021-11-04|5485.0|0|5489.0|0|105.0|0|0.0|100
0|2021-11-05|5499.0|0|5503.0|0|105.0|0|0.0|100
0|2021-11-06|5499.0|0|5503.0|0|105.0|0|0.0|100
0|2021-11-07|5499.0|0|5503.0|0|105.0|0|0.0|100
0|2021-11-08|5540.0|0|5544.0|0|105.0|0|0.0|100
0|2021-11-09|5555.0|0|5559.0|0|106.0|0|0.0|100
0|2021-11-10|5555.0|0|5595.0|0|106.0|0|0.0|100
0|2021-11-11|5633.0|0|5637.0|0|106.0|0|0.0|100
0|2021-11-12|5664.0|0|5668.0|0|107.0|0|0.0|100
0|2021-11-13|5664.0|0|5668.0|0|107.0|0|0.0|100
0|2021-11-14|5664.0|0|5668.0|0|107.0|0|0.0|100
0|2021-11-15|5714.0|0|5718.0|0|107.0|0|0.0|100
0|2021-11-16|5741.0|0|5745.0|0|107.0|0|0.0|100
0|2021-11-17|5780.0|0|5784.0|0|107.0|0|0.0|100
0|2021-11-18|5806.0|0|5810.0|0|107.0|0|0.0|100
0|2021-11-19|5833.0|0|5837.0|0|107.0|0|0.0|100
0|2021-11-20|5833.0|0|5837.0|0|107.0|0|0.0|100
0|2021-11-21|5833.0|0|5837.0|0|107.0|0|0.0|100
0|2021-11-22|5898.0|0|5902.0|0|107.0|0|0.0|100
0|2021-11-23|5916.0|0|5920.0|0|108.0|0|0.0|100
0|2021-11-24|5958.0|0|5962.0|0|108.0|0|0.0|100
0|2021-11-25|5958.0|0|5962.0|0|108.0|0|0.0|100
0|2021-11-26|5958.0|0|5962.0|0|108.0|0|0.0|100
