|dates|Ashtabula_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ashtabula_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ashtabula_Ohio_UnitedStates.Male_Total_Population.data|Ashtabula_Ohio_UnitedStates.Male_Total_Population.missing|Ashtabula_Ohio_UnitedStates.Female_Total_Population.data|Ashtabula_Ohio_UnitedStates.Female_Total_Population.missing|Ashtabula_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Ashtabula_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-18|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-19|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-20|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-21|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-22|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-23|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-24|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-25|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-26|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-27|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-28|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-29|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-30|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-10-31|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-01|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-02|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-03|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-04|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-05|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-06|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-07|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-08|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-09|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-10|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-11|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-12|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-13|18589.0|0|49141.0|0|48352.0|0|21521.0|0
