|dates|Sanders_Montana_UnitedStates.JHU_ConfirmedCases.data|Sanders_Montana_UnitedStates.JHU_ConfirmedCases.missing|Sanders_Montana_UnitedStates.NYT_ConfirmedCases.data|Sanders_Montana_UnitedStates.NYT_ConfirmedCases.missing|Sanders_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Sanders_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Sanders_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Sanders_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1290.0|0|1290.0|0|18.0|0|0.0|100
0|2021-10-18|1308.0|0|1308.0|0|19.0|0|0.0|100
0|2021-10-19|1326.0|0|1326.0|0|19.0|0|0.0|100
0|2021-10-20|1332.0|0|1332.0|0|19.0|0|0.0|100
0|2021-10-21|1335.0|0|1335.0|0|19.0|0|0.0|100
0|2021-10-22|1346.0|0|1346.0|0|19.0|0|0.0|100
0|2021-10-23|1346.0|0|1346.0|0|19.0|0|0.0|100
0|2021-10-24|1346.0|0|1346.0|0|19.0|0|0.0|100
0|2021-10-25|1359.0|0|1359.0|0|19.0|0|0.0|100
0|2021-10-26|1366.0|0|1366.0|0|19.0|0|0.0|100
0|2021-10-27|1373.0|0|1373.0|0|25.0|0|0.0|100
0|2021-10-28|1377.0|0|1377.0|0|25.0|0|0.0|100
0|2021-10-29|1394.0|0|1394.0|0|25.0|0|0.0|100
0|2021-10-30|1394.0|0|1394.0|0|25.0|0|0.0|100
0|2021-10-31|1394.0|0|1394.0|0|25.0|0|0.0|100
0|2021-11-01|1405.0|0|1405.0|0|25.0|0|0.0|100
0|2021-11-02|1417.0|0|1417.0|0|25.0|0|0.0|100
0|2021-11-03|1427.0|0|1427.0|0|25.0|0|0.0|100
0|2021-11-04|1432.0|0|1432.0|0|25.0|0|0.0|100
0|2021-11-05|1433.0|0|1433.0|0|25.0|0|0.0|100
0|2021-11-06|1433.0|0|1433.0|0|25.0|0|0.0|100
0|2021-11-07|1433.0|0|1433.0|0|25.0|0|0.0|100
0|2021-11-08|1445.0|0|1445.0|0|25.0|0|0.0|100
0|2021-11-09|1454.0|0|1454.0|0|25.0|0|0.0|100
0|2021-11-10|1459.0|0|1459.0|0|25.0|0|0.0|100
0|2021-11-11|1459.0|0|1459.0|0|25.0|0|0.0|100
0|2021-11-12|1464.0|0|1464.0|0|26.0|0|0.0|100
0|2021-11-13|1464.0|0|1464.0|0|26.0|0|0.0|100
0|2021-11-14|1464.0|0|1464.0|0|26.0|0|0.0|100
0|2021-11-15|1466.0|0|1466.0|0|26.0|0|0.0|100
0|2021-11-16|1478.0|0|1478.0|0|26.0|0|0.0|100
0|2021-11-17|1486.0|0|1486.0|0|26.0|0|0.0|100
