|dates|Putnam_Missouri_UnitedStates.JHU_ConfirmedCases.data|Putnam_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Missouri_UnitedStates.NYT_ConfirmedCases.data|Putnam_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Putnam_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|617.0|0|617.0|0|10.0|0|0.0|100
0|2021-10-18|617.0|0|617.0|0|10.0|0|0.0|100
0|2021-10-19|617.0|0|617.0|0|10.0|0|0.0|100
0|2021-10-20|618.0|0|618.0|0|10.0|0|0.0|100
0|2021-10-21|620.0|0|620.0|0|10.0|0|0.0|100
0|2021-10-22|622.0|0|622.0|0|10.0|0|0.0|100
0|2021-10-23|622.0|0|622.0|0|10.0|0|0.0|100
0|2021-10-24|622.0|0|622.0|0|10.0|0|0.0|100
0|2021-10-25|622.0|0|622.0|0|10.0|0|0.0|100
0|2021-10-26|622.0|0|622.0|0|10.0|0|0.0|100
0|2021-10-27|622.0|0|622.0|0|10.0|0|0.0|100
0|2021-10-28|623.0|0|623.0|0|10.0|0|0.0|100
0|2021-10-29|626.0|0|626.0|0|10.0|0|0.0|100
0|2021-10-30|628.0|0|628.0|0|10.0|0|0.0|100
0|2021-10-31|628.0|0|628.0|0|10.0|0|0.0|100
0|2021-11-01|628.0|0|628.0|0|10.0|0|0.0|100
0|2021-11-02|630.0|0|630.0|0|10.0|0|0.0|100
0|2021-11-03|632.0|0|632.0|0|10.0|0|0.0|100
0|2021-11-04|634.0|0|634.0|0|10.0|0|0.0|100
0|2021-11-05|634.0|0|634.0|0|10.0|0|0.0|100
0|2021-11-06|635.0|0|635.0|0|10.0|0|0.0|100
0|2021-11-07|635.0|0|635.0|0|10.0|0|0.0|100
0|2021-11-08|635.0|0|635.0|0|10.0|0|0.0|100
0|2021-11-09|638.0|0|638.0|0|10.0|0|0.0|100
0|2021-11-10|638.0|0|649.0|0|10.0|0|0.0|100
0|2021-11-11|649.0|0|649.0|0|10.0|0|0.0|100
0|2021-11-12|653.0|0|653.0|0|10.0|0|0.0|100
0|2021-11-13|654.0|0|654.0|0|10.0|0|0.0|100
0|2021-11-14|655.0|0|655.0|0|10.0|0|0.0|100
0|2021-11-15|655.0|0|655.0|0|10.0|0|0.0|100
0|2021-11-16|655.0|0|655.0|0|11.0|0|0.0|100
0|2021-11-17|659.0|0|659.0|0|11.0|0|0.0|100
0|2021-11-18|669.0|0|669.0|0|11.0|0|0.0|100
0|2021-11-19|669.0|0|669.0|0|11.0|0|0.0|100
0|2021-11-20|671.0|0|671.0|0|11.0|0|0.0|100
0|2021-11-21|671.0|0|671.0|0|11.0|0|0.0|100
0|2021-11-22|671.0|0|671.0|0|11.0|0|0.0|100
0|2021-11-23|676.0|0|676.0|0|11.0|0|0.0|100
0|2021-11-24|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-25|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-26|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-27|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-28|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-29|682.0|0|682.0|0|11.0|0|0.0|100
0|2021-11-30|687.0|0|687.0|0|11.0|0|0.0|100
0|2021-12-01|693.0|0|693.0|0|11.0|0|0.0|100
