|dates|Washington_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Washington_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Washington_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Washington_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Washington_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|33145.0|0|33145.0|0|327.0|0|0.0|100
0|2021-10-18|33236.0|0|33236.0|0|329.0|0|0.0|100
0|2021-10-19|33431.0|0|33431.0|0|329.0|0|0.0|100
0|2021-10-20|33492.0|0|33492.0|0|329.0|0|0.0|100
0|2021-10-21|33598.0|0|33598.0|0|331.0|0|0.0|100
0|2021-10-22|33690.0|0|33690.0|0|331.0|0|0.0|100
0|2021-10-23|33690.0|0|33690.0|0|331.0|0|0.0|100
0|2021-10-24|33690.0|0|33690.0|0|331.0|0|0.0|100
0|2021-10-25|33796.0|0|33796.0|0|332.0|0|0.0|100
0|2021-10-26|34014.0|0|34014.0|0|332.0|0|0.0|100
0|2021-10-27|34081.0|0|34081.0|0|332.0|0|0.0|100
0|2021-10-28|34166.0|0|34166.0|0|333.0|0|0.0|100
0|2021-10-29|34287.0|0|34287.0|0|333.0|0|0.0|100
0|2021-10-30|34287.0|0|34287.0|0|333.0|0|0.0|100
0|2021-10-31|34287.0|0|34287.0|0|333.0|0|0.0|100
0|2021-11-01|34756.0|0|34756.0|0|334.0|0|0.0|100
0|2021-11-02|35071.0|0|35071.0|0|337.0|0|0.0|100
0|2021-11-03|35188.0|0|35188.0|0|340.0|0|0.0|100
0|2021-11-04|35339.0|0|35339.0|0|341.0|0|0.0|100
0|2021-11-05|35500.0|0|35500.0|0|341.0|0|0.0|100
0|2021-11-06|35500.0|0|35500.0|0|341.0|0|0.0|100
0|2021-11-07|35500.0|0|35500.0|0|341.0|0|0.0|100
0|2021-11-08|35760.0|0|35760.0|0|341.0|0|0.0|100
0|2021-11-09|36146.0|0|36146.0|0|341.0|0|0.0|100
0|2021-11-10|36378.0|0|36378.0|0|341.0|0|0.0|100
0|2021-11-11|36589.0|0|36589.0|0|342.0|0|0.0|100
0|2021-11-12|36843.0|0|36843.0|0|342.0|0|0.0|100
