|dates|Butte_California_UnitedStates.JHU_ConfirmedCases.data|Butte_California_UnitedStates.JHU_ConfirmedCases.missing|Butte_California_UnitedStates.NYT_ConfirmedCases.data|Butte_California_UnitedStates.NYT_ConfirmedCases.missing|Butte_California_UnitedStates.JHU_ConfirmedDeaths.data|Butte_California_UnitedStates.JHU_ConfirmedDeaths.missing|Butte_California_UnitedStates.JHU_ConfirmedRecoveries.data|Butte_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23618.0|0|23364.0|0|265.0|0|0.0|100
0|2021-10-18|23651.0|0|23649.0|0|265.0|0|0.0|100
0|2021-10-19|23714.0|0|23673.0|0|265.0|0|0.0|100
0|2021-10-20|23768.0|0|23726.0|0|268.0|0|0.0|100
0|2021-10-21|23861.0|0|23738.0|0|270.0|0|0.0|100
0|2021-10-22|23872.0|0|23818.0|0|273.0|0|0.0|100
0|2021-10-23|23875.0|0|23818.0|0|273.0|0|0.0|100
0|2021-10-24|23877.0|0|23818.0|0|273.0|0|0.0|100
0|2021-10-25|24116.0|0|23818.0|0|273.0|0|0.0|100
0|2021-10-26|24176.0|0|24048.0|0|273.0|0|0.0|100
0|2021-10-27|24245.0|0|24104.0|0|274.0|0|0.0|100
0|2021-10-28|24324.0|0|24228.0|0|274.0|0|0.0|100
0|2021-10-29|24338.0|0|24298.0|0|277.0|0|0.0|100
0|2021-10-30|24345.0|0|24298.0|0|277.0|0|0.0|100
0|2021-10-31|24523.0|0|24298.0|0|277.0|0|0.0|100
0|2021-11-01|24548.0|0|24471.0|0|281.0|0|0.0|100
0|2021-11-02|24582.0|0|24492.0|0|281.0|0|0.0|100
0|2021-11-03|24607.0|0|24526.0|0|282.0|0|0.0|100
0|2021-11-04|24634.0|0|24608.0|0|284.0|0|0.0|100
0|2021-11-05|24635.0|0|24635.0|0|288.0|0|0.0|100
0|2021-11-06|24635.0|0|24635.0|0|288.0|0|0.0|100
0|2021-11-07|24635.0|0|24635.0|0|288.0|0|0.0|100
0|2021-11-08|24808.0|0|24808.0|0|288.0|0|0.0|100
0|2021-11-09|24839.0|0|24839.0|0|288.0|0|0.0|100
0|2021-11-10|24839.0|0|24861.0|0|288.0|0|0.0|100
0|2021-11-11|24925.0|0|24925.0|0|293.0|0|0.0|100
0|2021-11-12|24925.0|0|24925.0|0|293.0|0|0.0|100
0|2021-11-13|24982.0|0|24982.0|0|296.0|0|0.0|100
0|2021-11-14|24982.0|0|24982.0|0|296.0|0|0.0|100
0|2021-11-15|25024.0|0|25024.0|0|296.0|0|0.0|100
0|2021-11-16|25060.0|0|25060.0|0|296.0|0|0.0|100
0|2021-11-17|25086.0|0|25086.0|0|297.0|0|0.0|100
0|2021-11-18|25141.0|0|25141.0|0|300.0|0|0.0|100
0|2021-11-19|25176.0|0|25176.0|0|300.0|0|0.0|100
0|2021-11-20|25176.0|0|25176.0|0|300.0|0|0.0|100
0|2021-11-21|25176.0|0|25176.0|0|300.0|0|0.0|100
0|2021-11-22|25253.0|0|25253.0|0|306.0|0|0.0|100
0|2021-11-23|25274.0|0|25274.0|0|305.0|0|0.0|100
0|2021-11-24|25295.0|0|25295.0|0|309.0|0|0.0|100
0|2021-11-25|25295.0|0|25295.0|0|309.0|0|0.0|100
0|2021-11-26|25295.0|0|25295.0|0|309.0|0|0.0|100
0|2021-11-27|25295.0|0|25295.0|0|309.0|0|0.0|100
0|2021-11-28|25295.0|0|25295.0|0|309.0|0|0.0|100
0|2021-11-29|25441.0|0|25441.0|0|313.0|0|0.0|100
0|2021-11-30|25441.0|0|25455.0|0|313.0|0|0.0|100
0|2021-12-01|25476.0|0|25476.0|0|318.0|0|0.0|100
0|2021-12-02|25570.0|0|25570.0|0|318.0|0|0.0|100
0|2021-12-03|25608.0|0|25608.0|0|318.0|0|0.0|100
0|2021-12-04|25608.0|0|25608.0|0|318.0|0|0.0|100
0|2021-12-05|25608.0|0|25608.0|0|318.0|0|0.0|100
0|2021-12-06|25690.0|0|25690.0|0|320.0|0|0.0|100
0|2021-12-07|25690.0|0|25702.0|0|320.0|0|0.0|100
0|2021-12-08|25731.0|0|25731.0|0|324.0|0|0.0|100
0|2021-12-09|25791.0|0|25791.0|0|326.0|0|0.0|100
0|2021-12-10|25830.0|0|25830.0|0|326.0|0|0.0|100
0|2021-12-11|25830.0|0|25830.0|0|326.0|0|0.0|100
0|2021-12-12|25830.0|0|25830.0|0|326.0|0|0.0|100
0|2021-12-13|25885.0|0|25885.0|0|326.0|0|0.0|100
0|2021-12-14|25885.0|0|25900.0|0|326.0|0|0.0|100
0|2021-12-15|25912.0|0|25912.0|0|326.0|0|0.0|100
0|2021-12-16|25945.0|0|25945.0|0|327.0|0|0.0|100
0|2021-12-17|25979.0|0|25979.0|0|328.0|0|0.0|100
0|2021-12-18|25979.0|0|25979.0|0|328.0|0|0.0|100
0|2021-12-19|25979.0|0|25979.0|0|328.0|0|0.0|100
