|dates|Fauquier_Virginia_UnitedStates.JHU_ConfirmedCases.data|Fauquier_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Fauquier_Virginia_UnitedStates.NYT_ConfirmedCases.data|Fauquier_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Fauquier_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Fauquier_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Fauquier_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Fauquier_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6776.0|0|6776.0|0|83.0|0|0.0|100
0|2021-10-18|6818.0|0|6818.0|0|83.0|0|0.0|100
0|2021-10-19|6827.0|0|6827.0|0|85.0|0|0.0|100
0|2021-10-20|6851.0|0|6851.0|0|85.0|0|0.0|100
0|2021-10-21|6867.0|0|6867.0|0|85.0|0|0.0|100
0|2021-10-22|6883.0|0|6883.0|0|85.0|0|0.0|100
0|2021-10-23|6883.0|0|6883.0|0|85.0|0|0.0|100
0|2021-10-24|6883.0|0|6883.0|0|85.0|0|0.0|100
0|2021-10-25|6922.0|0|6922.0|0|85.0|0|0.0|100
0|2021-10-26|6939.0|0|6939.0|0|85.0|0|0.0|100
0|2021-10-27|6955.0|0|6955.0|0|85.0|0|0.0|100
0|2021-10-28|6971.0|0|6971.0|0|86.0|0|0.0|100
0|2021-10-29|6987.0|0|6987.0|0|86.0|0|0.0|100
0|2021-10-30|6987.0|0|6987.0|0|86.0|0|0.0|100
0|2021-10-31|6987.0|0|6987.0|0|86.0|0|0.0|100
0|2021-11-01|7021.0|0|7021.0|0|86.0|0|0.0|100
0|2021-11-02|7039.0|0|7039.0|0|86.0|0|0.0|100
0|2021-11-03|7055.0|0|7055.0|0|86.0|0|0.0|100
0|2021-11-04|7065.0|0|7065.0|0|86.0|0|0.0|100
0|2021-11-05|7091.0|0|7091.0|0|86.0|0|0.0|100
0|2021-11-06|7091.0|0|7091.0|0|86.0|0|0.0|100
0|2021-11-07|7091.0|0|7091.0|0|86.0|0|0.0|100
0|2021-11-08|7125.0|0|7125.0|0|86.0|0|0.0|100
0|2021-11-09|7151.0|0|7151.0|0|86.0|0|0.0|100
