|dates|Knox_Maine_UnitedStates.JHU_ConfirmedCases.data|Knox_Maine_UnitedStates.JHU_ConfirmedCases.missing|Knox_Maine_UnitedStates.NYT_ConfirmedCases.data|Knox_Maine_UnitedStates.NYT_ConfirmedCases.missing|Knox_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Knox_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Knox_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Knox_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1833.0|0|1833.0|0|12.0|0|0.0|100
0|2021-10-18|1833.0|0|1833.0|0|12.0|0|0.0|100
0|2021-10-19|1864.0|0|1864.0|0|12.0|0|0.0|100
0|2021-10-20|1872.0|0|1872.0|0|12.0|0|0.0|100
0|2021-10-21|1889.0|0|1889.0|0|13.0|0|0.0|100
0|2021-10-22|1904.0|0|1904.0|0|13.0|0|0.0|100
0|2021-10-23|1921.0|0|1921.0|0|13.0|0|0.0|100
0|2021-10-24|1921.0|0|1921.0|0|13.0|0|0.0|100
0|2021-10-25|1921.0|0|1921.0|0|13.0|0|0.0|100
0|2021-10-26|1954.0|0|1954.0|0|13.0|0|0.0|100
0|2021-10-27|1984.0|0|1984.0|0|13.0|0|0.0|100
0|2021-10-28|2022.0|0|2022.0|0|13.0|0|0.0|100
0|2021-10-29|2044.0|0|2044.0|0|13.0|0|0.0|100
0|2021-10-30|2063.0|0|2063.0|0|13.0|0|0.0|100
0|2021-10-31|2063.0|0|2063.0|0|13.0|0|0.0|100
0|2021-11-01|2063.0|0|2063.0|0|13.0|0|0.0|100
0|2021-11-02|2101.0|0|2101.0|0|13.0|0|0.0|100
0|2021-11-03|2114.0|0|2114.0|0|13.0|0|0.0|100
0|2021-11-04|2128.0|0|2128.0|0|13.0|0|0.0|100
0|2021-11-05|2154.0|0|2154.0|0|13.0|0|0.0|100
0|2021-11-06|2171.0|0|2171.0|0|13.0|0|0.0|100
0|2021-11-07|2171.0|0|2171.0|0|13.0|0|0.0|100
0|2021-11-08|2171.0|0|2171.0|0|13.0|0|0.0|100
0|2021-11-09|2188.0|0|2188.0|0|13.0|0|0.0|100
0|2021-11-10|2188.0|0|2203.0|0|13.0|0|0.0|100
0|2021-11-11|2213.0|0|2213.0|0|13.0|0|0.0|100
0|2021-11-12|2213.0|0|2213.0|0|13.0|0|0.0|100
0|2021-11-13|2238.0|0|2238.0|0|13.0|0|0.0|100
0|2021-11-14|2238.0|0|2238.0|0|13.0|0|0.0|100
0|2021-11-15|2238.0|0|2238.0|0|13.0|0|0.0|100
0|2021-11-16|2253.0|0|2253.0|0|14.0|0|0.0|100
0|2021-11-17|2269.0|0|2269.0|0|14.0|0|0.0|100
0|2021-11-18|2301.0|0|2301.0|0|14.0|0|0.0|100
0|2021-11-19|2319.0|0|2319.0|0|14.0|0|0.0|100
0|2021-11-20|2332.0|0|2332.0|0|14.0|0|0.0|100
0|2021-11-21|2332.0|0|2332.0|0|14.0|0|0.0|100
0|2021-11-22|2332.0|0|2332.0|0|14.0|0|0.0|100
0|2021-11-23|2344.0|0|2344.0|0|15.0|0|0.0|100
0|2021-11-24|2356.0|0|2356.0|0|15.0|0|0.0|100
0|2021-11-25|2361.0|0|2361.0|0|15.0|0|0.0|100
0|2021-11-26|2361.0|0|2361.0|0|15.0|0|0.0|100
0|2021-11-27|2361.0|0|2361.0|0|15.0|0|0.0|100
0|2021-11-28|2361.0|0|2361.0|0|15.0|0|0.0|100
0|2021-11-29|2361.0|0|2361.0|0|15.0|0|0.0|100
0|2021-11-30|2373.0|0|2373.0|0|16.0|0|0.0|100
0|2021-12-01|2381.0|0|2381.0|0|16.0|0|0.0|100
0|2021-12-02|2381.0|0|2403.0|0|16.0|0|0.0|100
0|2021-12-03|2420.0|0|2420.0|0|17.0|0|0.0|100
0|2021-12-04|2428.0|0|2428.0|0|17.0|0|0.0|100
0|2021-12-05|2428.0|0|2428.0|0|17.0|0|0.0|100
0|2021-12-06|2428.0|0|2428.0|0|17.0|0|0.0|100
0|2021-12-07|2442.0|0|2442.0|0|17.0|0|0.0|100
0|2021-12-08|2460.0|0|2460.0|0|17.0|0|0.0|100
0|2021-12-09|2521.0|0|2521.0|0|17.0|0|0.0|100
0|2021-12-10|2590.0|0|2590.0|0|17.0|0|0.0|100
0|2021-12-11|2641.0|0|2641.0|0|17.0|0|0.0|100
0|2021-12-12|2641.0|0|2641.0|0|17.0|0|0.0|100
0|2021-12-13|2642.0|0|2642.0|0|17.0|0|0.0|100
0|2021-12-14|2642.0|0|2655.0|0|17.0|0|0.0|100
0|2021-12-15|2659.0|0|2659.0|0|17.0|0|0.0|100
0|2021-12-16|2667.0|0|2667.0|0|17.0|0|0.0|100
0|2021-12-17|2693.0|0|2693.0|0|17.0|0|0.0|100
0|2021-12-18|2711.0|0|2711.0|0|17.0|0|0.0|100
0|2021-12-19|2711.0|0|2711.0|0|17.0|0|0.0|100
0|2021-12-20|2711.0|0|2711.0|0|17.0|0|0.0|100
0|2021-12-21|2788.0|0|2788.0|0|18.0|0|0.0|100
0|2021-12-22|2827.0|0|2827.0|0|19.0|0|0.0|100
0|2021-12-23|2896.0|0|2896.0|0|19.0|0|0.0|100
0|2021-12-24|2937.0|0|2937.0|0|19.0|0|0.0|100
0|2021-12-25|2937.0|0|2937.0|0|19.0|0|0.0|100
0|2021-12-26|2937.0|0|2937.0|0|19.0|0|0.0|100
0|2021-12-27|2937.0|0|2937.0|0|19.0|0|0.0|100
0|2021-12-28|3020.0|0|3020.0|0|19.0|0|0.0|100
0|2021-12-29|3077.0|0|3077.0|0|20.0|0|0.0|100
0|2021-12-30|3121.0|0|3121.0|0|20.0|0|0.0|100
0|2021-12-31|3169.0|0|3169.0|0|20.0|0|0.0|100
0|2022-01-01|3169.0|0|3169.0|0|20.0|0|0.0|100
0|2022-01-02|3169.0|0|3169.0|0|20.0|0|0.0|100
0|2022-01-03|3169.0|0|3169.0|0|20.0|0|0.0|100
0|2022-01-04|3232.0|0|3232.0|0|20.0|0|0.0|100
0|2022-01-05|3261.0|0|3261.0|0|20.0|0|0.0|100
0|2022-01-06|3297.0|0|3297.0|0|20.0|0|0.0|100
0|2022-01-07|3344.0|0|3344.0|0|20.0|0|0.0|100
0|2022-01-08|3381.0|0|3381.0|0|20.0|0|0.0|100
0|2022-01-09|3381.0|0|3381.0|0|20.0|0|0.0|100
