|dates|Beaufort_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Beaufort_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Beaufort_NorthCarolina_UnitedStates.Male_Total_Population.data|Beaufort_NorthCarolina_UnitedStates.Male_Total_Population.missing|Beaufort_NorthCarolina_UnitedStates.Female_Total_Population.data|Beaufort_NorthCarolina_UnitedStates.Female_Total_Population.missing|Beaufort_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Beaufort_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-18|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-19|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-20|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-21|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-22|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-23|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-24|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-25|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-26|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-27|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-28|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-29|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-30|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-10-31|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-01|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-02|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-03|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-04|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-05|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-06|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-07|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-08|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-09|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-10|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-11|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-12|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-13|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-14|11281.0|0|22487.0|0|24592.0|0|9475.0|0
0|2021-11-15|11281.0|0|22487.0|0|24592.0|0|9475.0|0
