|dates|Norfolk_Massachusetts_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Norfolk_Massachusetts_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Norfolk_Massachusetts_UnitedStates.NYT_ConfirmedDeaths.data|Norfolk_Massachusetts_UnitedStates.NYT_ConfirmedDeaths.missing|Norfolk_Massachusetts_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Norfolk_Massachusetts_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Norfolk_Massachusetts_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Norfolk_Massachusetts_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|1853.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|1853.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|1853.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|1855.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|1855.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|1855.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|1855.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|1855.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|1855.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|1856.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|1859.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|1861.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|1862.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|1862.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|1862.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|1862.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|1863.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|1864.0|0|0.0|100|0.0|100
