|dates|FairfaxCity_Virginia_UnitedStates.JHU_ConfirmedCases.data|FairfaxCity_Virginia_UnitedStates.JHU_ConfirmedCases.missing|FairfaxCity_Virginia_UnitedStates.NYT_ConfirmedCases.data|FairfaxCity_Virginia_UnitedStates.NYT_ConfirmedCases.missing|FairfaxCity_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|FairfaxCity_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|FairfaxCity_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|FairfaxCity_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|643.0|0|643.0|0|20.0|0|0.0|100
0|2021-10-18|645.0|0|645.0|0|20.0|0|0.0|100
0|2021-10-19|645.0|0|645.0|0|20.0|0|0.0|100
0|2021-10-20|646.0|0|646.0|0|20.0|0|0.0|100
0|2021-10-21|647.0|0|647.0|0|20.0|0|0.0|100
0|2021-10-22|649.0|0|649.0|0|20.0|0|0.0|100
0|2021-10-23|649.0|0|649.0|0|20.0|0|0.0|100
0|2021-10-24|649.0|0|649.0|0|20.0|0|0.0|100
0|2021-10-25|650.0|0|650.0|0|20.0|0|0.0|100
0|2021-10-26|651.0|0|651.0|0|20.0|0|0.0|100
0|2021-10-27|652.0|0|652.0|0|20.0|0|0.0|100
0|2021-10-28|652.0|0|652.0|0|20.0|0|0.0|100
0|2021-10-29|653.0|0|653.0|0|20.0|0|0.0|100
0|2021-10-30|653.0|0|653.0|0|20.0|0|0.0|100
0|2021-10-31|653.0|0|653.0|0|20.0|0|0.0|100
0|2021-11-01|682.0|0|682.0|0|21.0|0|0.0|100
0|2021-11-02|723.0|0|723.0|0|25.0|0|0.0|100
0|2021-11-03|730.0|0|730.0|0|25.0|0|0.0|100
0|2021-11-04|749.0|0|749.0|0|26.0|0|0.0|100
0|2021-11-05|764.0|0|764.0|0|27.0|0|0.0|100
0|2021-11-06|764.0|0|764.0|0|27.0|0|0.0|100
0|2021-11-07|764.0|0|764.0|0|27.0|0|0.0|100
0|2021-11-08|796.0|0|796.0|0|30.0|0|0.0|100
0|2021-11-09|807.0|0|807.0|0|30.0|0|0.0|100
0|2021-11-10|807.0|0|854.0|0|30.0|0|0.0|100
0|2021-11-11|914.0|0|914.0|0|34.0|0|0.0|100
0|2021-11-12|919.0|0|919.0|0|34.0|0|0.0|100
0|2021-11-13|919.0|0|919.0|0|34.0|0|0.0|100
0|2021-11-14|919.0|0|919.0|0|34.0|0|0.0|100
0|2021-11-15|978.0|0|978.0|0|34.0|0|0.0|100
0|2021-11-16|1020.0|0|1020.0|0|35.0|0|0.0|100
0|2021-11-17|1026.0|0|1026.0|0|35.0|0|0.0|100
0|2021-11-18|1087.0|0|1087.0|0|35.0|0|0.0|100
0|2021-11-19|1088.0|0|1088.0|0|35.0|0|0.0|100
0|2021-11-20|1088.0|0|1088.0|0|35.0|0|0.0|100
0|2021-11-21|1088.0|0|1088.0|0|35.0|0|0.0|100
0|2021-11-22|1095.0|0|1095.0|0|35.0|0|0.0|100
0|2021-11-23|1097.0|0|1097.0|0|35.0|0|0.0|100
0|2021-11-24|1098.0|0|1098.0|0|35.0|0|0.0|100
0|2021-11-25|1098.0|0|1098.0|0|35.0|0|0.0|100
0|2021-11-26|1098.0|0|1098.0|0|35.0|0|0.0|100
0|2021-11-27|1098.0|0|1098.0|0|35.0|0|0.0|100
0|2021-11-28|1098.0|0|1098.0|0|35.0|0|0.0|100
0|2021-11-29|1101.0|0|1101.0|0|35.0|0|0.0|100
0|2021-11-30|1101.0|0|1101.0|0|35.0|0|0.0|100
0|2021-12-01|1102.0|0|1102.0|0|35.0|0|0.0|100
0|2021-12-02|1102.0|0|1102.0|0|35.0|0|0.0|100
