|dates|Whatcom_Washington_UnitedStates.BLS_EmployedPopulation.data|Whatcom_Washington_UnitedStates.BLS_EmployedPopulation.missing|Whatcom_Washington_UnitedStates.BLS_UnemployedPopulation.data|Whatcom_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Whatcom_Washington_UnitedStates.BLS_UnemploymentRate.data|Whatcom_Washington_UnitedStates.BLS_UnemploymentRate.missing|Whatcom_Washington_UnitedStates.BLS_LaborForcePopulation.data|Whatcom_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-18|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-19|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-20|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-21|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-22|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-23|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-24|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-25|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-26|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-27|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-28|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-29|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-30|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-10-31|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-01|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-02|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-03|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-04|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-05|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-06|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-07|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-08|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-09|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-10|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-11|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-12|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-13|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-14|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-15|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-16|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-17|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-18|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-19|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-20|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-21|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-22|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-23|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-24|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-25|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-26|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-27|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-28|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-29|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-11-30|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-01|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-02|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-03|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-04|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-05|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-06|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-07|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-08|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
0|2021-12-09|107967.0|0|6430.0|0|5.620776768621555|0|114397.0|0
