|dates|Flagler_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Flagler_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Flagler_Florida_UnitedStates.Male_Total_Population.data|Flagler_Florida_UnitedStates.Male_Total_Population.missing|Flagler_Florida_UnitedStates.Female_Total_Population.data|Flagler_Florida_UnitedStates.Female_Total_Population.missing|Flagler_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Flagler_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-18|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-19|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-20|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-21|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-22|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-23|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-24|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-25|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-26|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-27|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-28|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-29|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-30|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-10-31|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-01|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-02|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-03|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-04|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-05|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-06|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-07|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-08|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-09|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-10|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-11|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-12|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-13|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-14|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-15|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-16|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-17|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-18|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-19|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-20|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-21|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-22|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-23|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-24|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-25|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-26|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-27|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-28|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-29|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-11-30|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-12-01|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-12-02|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-12-03|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-12-04|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-12-05|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-12-06|34428.0|0|53927.0|0|58140.0|0|18884.0|0
0|2021-12-07|34428.0|0|53927.0|0|58140.0|0|18884.0|0
