|dates|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Burnett_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|Burnett_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2161.0|0|2161.0|0|30.0|0|0.0|100
0|2021-10-18|2168.0|0|2168.0|0|30.0|0|0.0|100
0|2021-10-19|2187.0|0|2187.0|0|30.0|0|0.0|100
0|2021-10-20|2195.0|0|2195.0|0|30.0|0|0.0|100
0|2021-10-21|2210.0|0|2210.0|0|30.0|0|0.0|100
0|2021-10-22|2217.0|0|2217.0|0|32.0|0|0.0|100
0|2021-10-23|2217.0|0|2217.0|0|32.0|0|0.0|100
0|2021-10-24|2217.0|0|2217.0|0|32.0|0|0.0|100
0|2021-10-25|2237.0|0|2237.0|0|32.0|0|0.0|100
0|2021-10-26|2257.0|0|2257.0|0|32.0|0|0.0|100
0|2021-10-27|2264.0|0|2264.0|0|32.0|0|0.0|100
0|2021-10-28|2274.0|0|2274.0|0|32.0|0|0.0|100
0|2021-10-29|2287.0|0|2287.0|0|32.0|0|0.0|100
0|2021-10-30|2287.0|0|2287.0|0|32.0|0|0.0|100
0|2021-10-31|2287.0|0|2287.0|0|32.0|0|0.0|100
0|2021-11-01|2301.0|0|2301.0|0|32.0|0|0.0|100
0|2021-11-02|2319.0|0|2319.0|0|32.0|0|0.0|100
0|2021-11-03|2335.0|0|2335.0|0|32.0|0|0.0|100
0|2021-11-04|2343.0|0|2343.0|0|32.0|0|0.0|100
0|2021-11-05|2352.0|0|2352.0|0|33.0|0|0.0|100
0|2021-11-06|2352.0|0|2352.0|0|33.0|0|0.0|100
0|2021-11-07|2352.0|0|2352.0|0|33.0|0|0.0|100
0|2021-11-08|2358.0|0|2358.0|0|33.0|0|0.0|100
0|2021-11-09|2394.0|0|2394.0|0|33.0|0|0.0|100
0|2021-11-10|2407.0|0|2407.0|0|33.0|0|0.0|100
0|2021-11-11|2437.0|0|2437.0|0|33.0|0|0.0|100
0|2021-11-12|2439.0|0|2439.0|0|33.0|0|0.0|100
0|2021-11-13|2439.0|0|2439.0|0|33.0|0|0.0|100
0|2021-11-14|2439.0|0|2439.0|0|33.0|0|0.0|100
0|2021-11-15|2467.0|0|2467.0|0|33.0|0|0.0|100
0|2021-11-16|2489.0|0|2489.0|0|33.0|0|0.0|100
0|2021-11-17|2500.0|0|2500.0|0|33.0|0|0.0|100
0|2021-11-18|2520.0|0|2520.0|0|33.0|0|0.0|100
