|dates|Grant_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Grant_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Grant_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Grant_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Grant_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Grant_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2863.0|0|2863.0|0|47.0|0|0.0|100
0|2021-10-18|2863.0|0|2863.0|0|47.0|0|0.0|100
0|2021-10-19|2864.0|0|2864.0|0|47.0|0|0.0|100
0|2021-10-20|2867.0|0|2867.0|0|47.0|0|0.0|100
0|2021-10-21|2869.0|0|2869.0|0|48.0|0|0.0|100
0|2021-10-22|2869.0|0|2869.0|0|48.0|0|0.0|100
0|2021-10-23|2870.0|0|2870.0|0|48.0|0|0.0|100
0|2021-10-24|2870.0|0|2870.0|0|48.0|0|0.0|100
0|2021-10-25|2870.0|0|2870.0|0|48.0|0|0.0|100
0|2021-10-26|2873.0|0|2873.0|0|48.0|0|0.0|100
0|2021-10-27|2875.0|0|2875.0|0|50.0|0|0.0|100
0|2021-10-28|2876.0|0|2876.0|0|50.0|0|0.0|100
0|2021-10-29|2878.0|0|2878.0|0|50.0|0|0.0|100
0|2021-10-30|2878.0|0|2878.0|0|50.0|0|0.0|100
0|2021-10-31|2878.0|0|2878.0|0|50.0|0|0.0|100
0|2021-11-01|2878.0|0|2878.0|0|50.0|0|0.0|100
0|2021-11-02|2879.0|0|2879.0|0|50.0|0|0.0|100
0|2021-11-03|2879.0|0|2879.0|0|50.0|0|0.0|100
0|2021-11-04|2880.0|0|2880.0|0|50.0|0|0.0|100
0|2021-11-05|2883.0|0|2883.0|0|50.0|0|0.0|100
0|2021-11-06|2883.0|0|2883.0|0|50.0|0|0.0|100
0|2021-11-07|2883.0|0|2883.0|0|50.0|0|0.0|100
0|2021-11-08|2883.0|0|2883.0|0|50.0|0|0.0|100
0|2021-11-09|2886.0|0|2886.0|0|50.0|0|0.0|100
0|2021-11-10|2886.0|0|2887.0|0|50.0|0|0.0|100
0|2021-11-11|2888.0|0|2888.0|0|50.0|0|0.0|100
0|2021-11-12|2890.0|0|2890.0|0|50.0|0|0.0|100
0|2021-11-13|2890.0|0|2890.0|0|50.0|0|0.0|100
0|2021-11-14|2892.0|0|2892.0|0|50.0|0|0.0|100
0|2021-11-15|2892.0|0|2892.0|0|50.0|0|0.0|100
0|2021-11-16|2893.0|0|2893.0|0|50.0|0|0.0|100
0|2021-11-17|2895.0|0|2895.0|0|50.0|0|0.0|100
0|2021-11-18|2898.0|0|2898.0|0|50.0|0|0.0|100
0|2021-11-19|2897.0|0|2897.0|0|50.0|0|0.0|100
0|2021-11-20|2899.0|0|2899.0|0|50.0|0|0.0|100
0|2021-11-21|2900.0|0|2900.0|0|50.0|0|0.0|100
0|2021-11-22|2901.0|0|2901.0|0|50.0|0|0.0|100
0|2021-11-23|2902.0|0|2902.0|0|50.0|0|0.0|100
0|2021-11-24|2903.0|0|2903.0|0|50.0|0|0.0|100
0|2021-11-25|2906.0|0|2906.0|0|50.0|0|0.0|100
0|2021-11-26|2908.0|0|2908.0|0|50.0|0|0.0|100
0|2021-11-27|2908.0|0|2908.0|0|50.0|0|0.0|100
0|2021-11-28|2910.0|0|2910.0|0|50.0|0|0.0|100
0|2021-11-29|2910.0|0|2910.0|0|50.0|0|0.0|100
0|2021-11-30|2910.0|0|2912.0|0|50.0|0|0.0|100
0|2021-12-01|2919.0|0|2919.0|0|50.0|0|0.0|100
0|2021-12-02|2920.0|0|2920.0|0|50.0|0|0.0|100
0|2021-12-03|2925.0|0|2925.0|0|50.0|0|0.0|100
0|2021-12-04|2929.0|0|2929.0|0|50.0|0|0.0|100
0|2021-12-05|2934.0|0|2934.0|0|50.0|0|0.0|100
0|2021-12-06|2935.0|0|2935.0|0|51.0|0|0.0|100
0|2021-12-07|2943.0|0|2943.0|0|51.0|0|0.0|100
0|2021-12-08|2947.0|0|2947.0|0|51.0|0|0.0|100
0|2021-12-09|2956.0|0|2956.0|0|51.0|0|0.0|100
0|2021-12-10|2963.0|0|2963.0|0|51.0|0|0.0|100
0|2021-12-11|2964.0|0|2964.0|0|51.0|0|0.0|100
0|2021-12-12|2964.0|0|2964.0|0|51.0|0|0.0|100
0|2021-12-13|2965.0|0|2965.0|0|51.0|0|0.0|100
0|2021-12-14|2965.0|0|2967.0|0|51.0|0|0.0|100
0|2021-12-15|2973.0|0|2973.0|0|51.0|0|0.0|100
0|2021-12-16|2973.0|0|2973.0|0|51.0|0|0.0|100
0|2021-12-17|2977.0|0|2977.0|0|51.0|0|0.0|100
0|2021-12-18|2978.0|0|2978.0|0|51.0|0|0.0|100
0|2021-12-19|2981.0|0|2981.0|0|52.0|0|0.0|100
0|2021-12-20|2982.0|0|2982.0|0|52.0|0|0.0|100
0|2021-12-21|2988.0|0|2988.0|0|52.0|0|0.0|100
0|2021-12-22|2990.0|0|2990.0|0|52.0|0|0.0|100
0|2021-12-23|2990.0|0|2990.0|0|52.0|0|0.0|100
0|2021-12-24|2996.0|0|2996.0|0|52.0|0|0.0|100
0|2021-12-25|2999.0|0|2999.0|0|52.0|0|0.0|100
0|2021-12-26|2999.0|0|2999.0|0|52.0|0|0.0|100
0|2021-12-27|3000.0|0|3000.0|0|52.0|0|0.0|100
0|2021-12-28|3010.0|0|3010.0|0|52.0|0|0.0|100
0|2021-12-29|3026.0|0|3026.0|0|52.0|0|0.0|100
0|2021-12-30|3047.0|0|3047.0|0|52.0|0|0.0|100
0|2021-12-31|3063.0|0|3063.0|0|52.0|0|0.0|100
0|2022-01-01|3076.0|0|3076.0|0|52.0|0|0.0|100
0|2022-01-02|3089.0|0|3089.0|0|52.0|0|0.0|100
0|2022-01-03|3095.0|0|3095.0|0|52.0|0|0.0|100
0|2022-01-04|3120.0|0|3120.0|0|52.0|0|0.0|100
0|2022-01-05|3146.0|0|3146.0|0|52.0|0|0.0|100
0|2022-01-06|3180.0|0|3180.0|0|52.0|0|0.0|100
0|2022-01-07|3212.0|0|3212.0|0|52.0|0|0.0|100
0|2022-01-08|3249.0|0|3249.0|0|52.0|0|0.0|100
0|2022-01-09|3249.0|0|3249.0|0|52.0|0|0.0|100
0|2022-01-10|3294.0|0|3294.0|0|52.0|0|0.0|100
0|2022-01-11|3331.0|0|3331.0|0|52.0|0|0.0|100
0|2022-01-12|3396.0|0|3396.0|0|52.0|0|0.0|100
0|2022-01-13|3396.0|0|3490.0|0|52.0|0|0.0|100
0|2022-01-14|3570.0|0|3570.0|0|52.0|0|0.0|100
0|2022-01-15|3620.0|0|3620.0|0|52.0|0|0.0|100
0|2022-01-16|3649.0|0|3649.0|0|52.0|0|0.0|100
0|2022-01-17|3664.0|0|0.0|100|52.0|0|0.0|100
