|dates|Tarrant_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Tarrant_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Tarrant_Texas_UnitedStates.Male_Total_Population.data|Tarrant_Texas_UnitedStates.Male_Total_Population.missing|Tarrant_Texas_UnitedStates.Female_Total_Population.data|Tarrant_Texas_UnitedStates.Female_Total_Population.missing|Tarrant_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Tarrant_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-18|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-19|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-20|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-21|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-22|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-23|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-24|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-25|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-26|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-27|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-28|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-29|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-30|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-10-31|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-01|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-02|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-03|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-04|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-05|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-06|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-07|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-08|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-09|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-10|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
0|2021-11-11|235187.0|0|1020097.0|0|1064834.0|0|549063.0|0
