|dates|Hamilton_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hamilton_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hamilton_Nebraska_UnitedStates.Male_Total_Population.data|Hamilton_Nebraska_UnitedStates.Male_Total_Population.missing|Hamilton_Nebraska_UnitedStates.Female_Total_Population.data|Hamilton_Nebraska_UnitedStates.Female_Total_Population.missing|Hamilton_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hamilton_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-18|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-19|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-20|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-21|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-22|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-23|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-24|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-25|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-26|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-27|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-28|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-29|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-30|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-10-31|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-01|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-02|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-03|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-04|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-05|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-06|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-07|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-08|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-09|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-10|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-11|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-12|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-13|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-14|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-15|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-16|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-17|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-18|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-19|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-20|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-21|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-22|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-23|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-24|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-25|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-26|1847.0|0|4658.0|0|4622.0|0|2234.0|0
0|2021-11-27|1847.0|0|4658.0|0|4622.0|0|2234.0|0
