|dates|Marin_California_UnitedStates.JHU_ConfirmedCases.data|Marin_California_UnitedStates.JHU_ConfirmedCases.missing|Marin_California_UnitedStates.NYT_ConfirmedCases.data|Marin_California_UnitedStates.NYT_ConfirmedCases.missing|Marin_California_UnitedStates.JHU_ConfirmedDeaths.data|Marin_California_UnitedStates.JHU_ConfirmedDeaths.missing|Marin_California_UnitedStates.JHU_ConfirmedRecoveries.data|Marin_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|17652.0|0|17581.0|0|243.0|0|0.0|100
0|2021-10-18|17673.0|0|17644.0|0|243.0|0|0.0|100
0|2021-10-19|17685.0|0|17665.0|0|244.0|0|0.0|100
0|2021-10-20|17697.0|0|17674.0|0|244.0|0|0.0|100
0|2021-10-21|17712.0|0|17692.0|0|244.0|0|0.0|100
0|2021-10-22|17712.0|0|17706.0|0|244.0|0|0.0|100
0|2021-10-23|17712.0|0|17706.0|0|244.0|0|0.0|100
0|2021-10-24|17713.0|0|17706.0|0|244.0|0|0.0|100
0|2021-10-25|17784.0|0|17706.0|0|244.0|0|0.0|100
0|2021-10-26|17806.0|0|17776.0|0|244.0|0|0.0|100
0|2021-10-27|17815.0|0|17796.0|0|244.0|0|0.0|100
0|2021-10-28|17833.0|0|17809.0|0|247.0|0|0.0|100
0|2021-10-29|17835.0|0|17827.0|0|247.0|0|0.0|100
0|2021-10-30|17835.0|0|17827.0|0|247.0|0|0.0|100
0|2021-10-31|17899.0|0|17827.0|0|247.0|0|0.0|100
0|2021-11-01|17916.0|0|17890.0|0|247.0|0|0.0|100
0|2021-11-02|17938.0|0|17907.0|0|247.0|0|0.0|100
0|2021-11-03|17947.0|0|17929.0|0|247.0|0|0.0|100
0|2021-11-04|17976.0|0|17947.0|0|247.0|0|0.0|100
0|2021-11-05|17976.0|0|17976.0|0|247.0|0|0.0|100
0|2021-11-06|17976.0|0|17976.0|0|247.0|0|0.0|100
0|2021-11-07|17976.0|0|17976.0|0|247.0|0|0.0|100
0|2021-11-08|18050.0|0|18050.0|0|247.0|0|0.0|100
0|2021-11-09|18073.0|0|18073.0|0|247.0|0|0.0|100
0|2021-11-10|18086.0|0|18086.0|0|247.0|0|0.0|100
0|2021-11-11|18113.0|0|18113.0|0|247.0|0|0.0|100
0|2021-11-12|18113.0|0|18113.0|0|247.0|0|0.0|100
0|2021-11-13|18158.0|0|18158.0|0|247.0|0|0.0|100
0|2021-11-14|18158.0|0|18158.0|0|247.0|0|0.0|100
0|2021-11-15|18186.0|0|18186.0|0|247.0|0|0.0|100
0|2021-11-16|18197.0|0|18197.0|0|248.0|0|0.0|100
0|2021-11-17|18210.0|0|18210.0|0|248.0|0|0.0|100
0|2021-11-18|18242.0|0|18242.0|0|248.0|0|0.0|100
0|2021-11-19|18259.0|0|18259.0|0|248.0|0|0.0|100
0|2021-11-20|18259.0|0|18259.0|0|248.0|0|0.0|100
0|2021-11-21|18259.0|0|18259.0|0|248.0|0|0.0|100
0|2021-11-22|18314.0|0|18314.0|0|248.0|0|0.0|100
0|2021-11-23|18327.0|0|18327.0|0|248.0|0|0.0|100
0|2021-11-24|18342.0|0|18342.0|0|248.0|0|0.0|100
0|2021-11-25|18342.0|0|18342.0|0|248.0|0|0.0|100
0|2021-11-26|18342.0|0|18342.0|0|248.0|0|0.0|100
0|2021-11-27|18342.0|0|18342.0|0|248.0|0|0.0|100
0|2021-11-28|18342.0|0|18342.0|0|248.0|0|0.0|100
0|2021-11-29|18447.0|0|18447.0|0|249.0|0|0.0|100
