|dates|Yukon-Koyukuk_Alaska_UnitedStates.JHU_ConfirmedCases.data|Yukon-Koyukuk_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Yukon-Koyukuk_Alaska_UnitedStates.NYT_ConfirmedCases.data|Yukon-Koyukuk_Alaska_UnitedStates.NYT_ConfirmedCases.missing|Yukon-Koyukuk_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Yukon-Koyukuk_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Yukon-Koyukuk_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Yukon-Koyukuk_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|663.0|0|661.0|0|5.0|0|0.0|100
0|2021-10-18|663.0|0|661.0|0|5.0|0|0.0|100
0|2021-10-19|678.0|0|676.0|0|5.0|0|0.0|100
0|2021-10-20|678.0|0|676.0|0|5.0|0|0.0|100
0|2021-10-21|680.0|0|678.0|0|5.0|0|0.0|100
0|2021-10-22|680.0|0|678.0|0|5.0|0|0.0|100
0|2021-10-23|680.0|0|678.0|0|5.0|0|0.0|100
0|2021-10-24|680.0|0|678.0|0|5.0|0|0.0|100
0|2021-10-25|686.0|0|684.0|0|5.0|0|0.0|100
0|2021-10-26|691.0|0|689.0|0|5.0|0|0.0|100
0|2021-10-27|711.0|0|709.0|0|5.0|0|0.0|100
0|2021-10-28|713.0|0|711.0|0|5.0|0|0.0|100
0|2021-10-29|713.0|0|711.0|0|5.0|0|0.0|100
0|2021-10-30|713.0|0|711.0|0|5.0|0|0.0|100
0|2021-10-31|713.0|0|711.0|0|5.0|0|0.0|100
0|2021-11-01|726.0|0|724.0|0|5.0|0|0.0|100
0|2021-11-02|727.0|0|725.0|0|5.0|0|0.0|100
0|2021-11-03|735.0|0|733.0|0|5.0|0|0.0|100
0|2021-11-04|751.0|0|749.0|0|5.0|0|0.0|100
0|2021-11-05|756.0|0|754.0|0|5.0|0|0.0|100
0|2021-11-06|756.0|0|754.0|0|5.0|0|0.0|100
