|dates|Harrison_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Harrison_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Harrison_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Harrison_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Harrison_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Harrison_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Harrison_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Harrison_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3206.0|0|3206.0|0|35.0|0|0.0|100
0|2021-10-18|3220.0|0|3220.0|0|36.0|0|0.0|100
0|2021-10-19|3241.0|0|3241.0|0|36.0|0|0.0|100
0|2021-10-20|3264.0|0|3264.0|0|36.0|0|0.0|100
0|2021-10-21|3272.0|0|3272.0|0|36.0|0|0.0|100
0|2021-10-22|3281.0|0|3281.0|0|36.0|0|0.0|100
0|2021-10-23|3281.0|0|3281.0|0|36.0|0|0.0|100
0|2021-10-24|3281.0|0|3281.0|0|36.0|0|0.0|100
0|2021-10-25|3298.0|0|3298.0|0|38.0|0|0.0|100
0|2021-10-26|3300.0|0|3300.0|0|38.0|0|0.0|100
0|2021-10-27|3306.0|0|3306.0|0|39.0|0|0.0|100
0|2021-10-28|3315.0|0|3315.0|0|39.0|0|0.0|100
0|2021-10-29|3319.0|0|3319.0|0|39.0|0|0.0|100
0|2021-10-30|3319.0|0|3319.0|0|39.0|0|0.0|100
0|2021-10-31|3319.0|0|3319.0|0|39.0|0|0.0|100
0|2021-11-01|3329.0|0|3329.0|0|39.0|0|0.0|100
0|2021-11-02|3336.0|0|3336.0|0|39.0|0|0.0|100
0|2021-11-03|3341.0|0|3341.0|0|39.0|0|0.0|100
0|2021-11-04|3347.0|0|3347.0|0|39.0|0|0.0|100
0|2021-11-05|3356.0|0|3356.0|0|39.0|0|0.0|100
0|2021-11-06|3356.0|0|3356.0|0|39.0|0|0.0|100
0|2021-11-07|3356.0|0|3356.0|0|39.0|0|0.0|100
0|2021-11-08|3392.0|0|3392.0|0|39.0|0|0.0|100
0|2021-11-09|3398.0|0|3398.0|0|40.0|0|0.0|100
0|2021-11-10|3398.0|0|3420.0|0|40.0|0|0.0|100
0|2021-11-11|3420.0|0|3420.0|0|40.0|0|0.0|100
0|2021-11-12|3450.0|0|3450.0|0|40.0|0|0.0|100
0|2021-11-13|3450.0|0|3450.0|0|40.0|0|0.0|100
0|2021-11-14|3450.0|0|3450.0|0|40.0|0|0.0|100
0|2021-11-15|3477.0|0|3477.0|0|40.0|0|0.0|100
0|2021-11-16|3486.0|0|3486.0|0|40.0|0|0.0|100
0|2021-11-17|3499.0|0|3499.0|0|40.0|0|0.0|100
0|2021-11-18|3508.0|0|3508.0|0|41.0|0|0.0|100
0|2021-11-19|3519.0|0|3519.0|0|45.0|0|0.0|100
0|2021-11-20|3519.0|0|3519.0|0|45.0|0|0.0|100
0|2021-11-21|3519.0|0|3519.0|0|45.0|0|0.0|100
0|2021-11-22|3544.0|0|3544.0|0|47.0|0|0.0|100
0|2021-11-23|3556.0|0|3556.0|0|48.0|0|0.0|100
0|2021-11-24|3566.0|0|3566.0|0|48.0|0|0.0|100
0|2021-11-25|3566.0|0|3566.0|0|48.0|0|0.0|100
0|2021-11-26|3566.0|0|3566.0|0|48.0|0|0.0|100
0|2021-11-27|3566.0|0|3566.0|0|48.0|0|0.0|100
0|2021-11-28|3566.0|0|3566.0|0|48.0|0|0.0|100
0|2021-11-29|3612.0|0|3612.0|0|50.0|0|0.0|100
0|2021-11-30|3632.0|0|3632.0|0|51.0|0|0.0|100
0|2021-12-01|3650.0|0|3650.0|0|52.0|0|0.0|100
0|2021-12-02|3650.0|0|3672.0|0|52.0|0|0.0|100
0|2021-12-03|3692.0|0|3692.0|0|52.0|0|0.0|100
0|2021-12-04|3692.0|0|3692.0|0|52.0|0|0.0|100
0|2021-12-05|3692.0|0|3692.0|0|52.0|0|0.0|100
0|2021-12-06|3730.0|0|3730.0|0|52.0|0|0.0|100
0|2021-12-07|3749.0|0|3749.0|0|52.0|0|0.0|100
0|2021-12-08|3760.0|0|3760.0|0|52.0|0|0.0|100
0|2021-12-09|3780.0|0|3780.0|0|52.0|0|0.0|100
0|2021-12-10|3792.0|0|3792.0|0|52.0|0|0.0|100
0|2021-12-11|3792.0|0|3792.0|0|52.0|0|0.0|100
0|2021-12-12|3792.0|0|3792.0|0|52.0|0|0.0|100
0|2021-12-13|3816.0|0|3816.0|0|52.0|0|0.0|100
0|2021-12-14|3816.0|0|3833.0|0|52.0|0|0.0|100
0|2021-12-15|3841.0|0|3841.0|0|53.0|0|0.0|100
0|2021-12-16|3848.0|0|3848.0|0|55.0|0|0.0|100
0|2021-12-17|3860.0|0|3860.0|0|55.0|0|0.0|100
0|2021-12-18|3860.0|0|3860.0|0|55.0|0|0.0|100
0|2021-12-19|3860.0|0|3860.0|0|55.0|0|0.0|100
0|2021-12-20|3885.0|0|3885.0|0|56.0|0|0.0|100
0|2021-12-21|3892.0|0|3892.0|0|56.0|0|0.0|100
0|2021-12-22|3899.0|0|3899.0|0|56.0|0|0.0|100
0|2021-12-23|3899.0|0|3899.0|0|56.0|0|0.0|100
0|2021-12-24|3899.0|0|3899.0|0|56.0|0|0.0|100
