|dates|Stonewall_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stonewall_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stonewall_Texas_UnitedStates.Male_Total_Population.data|Stonewall_Texas_UnitedStates.Male_Total_Population.missing|Stonewall_Texas_UnitedStates.Female_Total_Population.data|Stonewall_Texas_UnitedStates.Female_Total_Population.missing|Stonewall_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Stonewall_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-18|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-19|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-20|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-21|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-22|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-23|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-24|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-25|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-26|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-27|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-28|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-29|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-30|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-10-31|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-01|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-02|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-03|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-04|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-05|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-06|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-07|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-08|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-09|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-10|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-11|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-12|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-13|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-14|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-15|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-16|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-17|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-18|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-19|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-20|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-21|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-22|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-23|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-24|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-25|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-26|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-27|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-28|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-29|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-11-30|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-01|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-02|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-03|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-04|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-05|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-06|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-07|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-08|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-09|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-10|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-11|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-12|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-13|361.0|0|665.0|0|697.0|0|303.0|0
