|dates|Kent_Delaware_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kent_Delaware_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kent_Delaware_UnitedStates.Male_Total_Population.data|Kent_Delaware_UnitedStates.Male_Total_Population.missing|Kent_Delaware_UnitedStates.Female_Total_Population.data|Kent_Delaware_UnitedStates.Female_Total_Population.missing|Kent_Delaware_UnitedStates.MaleAndFemale_Under18_Population.data|Kent_Delaware_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-18|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-19|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-20|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-21|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-22|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-23|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-24|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-25|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-26|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-27|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-28|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-29|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-30|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-10-31|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-11-01|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-11-02|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-11-03|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-11-04|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-11-05|30483.0|0|86023.0|0|92527.0|0|40805.0|0
0|2021-11-06|30483.0|0|86023.0|0|92527.0|0|40805.0|0
