|dates|LasAnimas_Colorado_UnitedStates.JHU_ConfirmedCases.data|LasAnimas_Colorado_UnitedStates.JHU_ConfirmedCases.missing|LasAnimas_Colorado_UnitedStates.NYT_ConfirmedCases.data|LasAnimas_Colorado_UnitedStates.NYT_ConfirmedCases.missing|LasAnimas_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|LasAnimas_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|LasAnimas_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|LasAnimas_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1730.0|0|1730.0|0|21.0|0|0.0|100
0|2021-10-18|1747.0|0|1747.0|0|21.0|0|0.0|100
0|2021-10-19|1755.0|0|1755.0|0|21.0|0|0.0|100
0|2021-10-20|1767.0|0|1767.0|0|22.0|0|0.0|100
0|2021-10-21|1777.0|0|1777.0|0|22.0|0|0.0|100
0|2021-10-22|1801.0|0|1801.0|0|22.0|0|0.0|100
0|2021-10-23|1801.0|0|1801.0|0|22.0|0|0.0|100
0|2021-10-24|1801.0|0|1801.0|0|22.0|0|0.0|100
0|2021-10-25|1811.0|0|1811.0|0|22.0|0|0.0|100
0|2021-10-26|1822.0|0|1822.0|0|22.0|0|0.0|100
0|2021-10-27|1850.0|0|1850.0|0|22.0|0|0.0|100
0|2021-10-28|1858.0|0|1858.0|0|22.0|0|0.0|100
0|2021-10-29|1870.0|0|1870.0|0|22.0|0|0.0|100
0|2021-10-30|1870.0|0|1870.0|0|22.0|0|0.0|100
0|2021-10-31|1870.0|0|1870.0|0|22.0|0|0.0|100
0|2021-11-01|1889.0|0|1889.0|0|22.0|0|0.0|100
0|2021-11-02|1897.0|0|1897.0|0|23.0|0|0.0|100
0|2021-11-03|1912.0|0|1912.0|0|23.0|0|0.0|100
0|2021-11-04|1917.0|0|1917.0|0|23.0|0|0.0|100
0|2021-11-05|1922.0|0|1922.0|0|24.0|0|0.0|100
0|2021-11-06|1922.0|0|1922.0|0|24.0|0|0.0|100
0|2021-11-07|1922.0|0|1922.0|0|24.0|0|0.0|100
0|2021-11-08|1950.0|0|1950.0|0|24.0|0|0.0|100
0|2021-11-09|1967.0|0|1967.0|0|24.0|0|0.0|100
