|dates|Mississippi_Missouri_UnitedStates.JHU_ConfirmedCases.data|Mississippi_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Mississippi_Missouri_UnitedStates.NYT_ConfirmedCases.data|Mississippi_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Mississippi_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Mississippi_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Mississippi_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Mississippi_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2170.0|0|2170.0|0|39.0|0|0.0|100
0|2021-10-18|2170.0|0|2170.0|0|39.0|0|0.0|100
0|2021-10-19|2172.0|0|2172.0|0|39.0|0|0.0|100
0|2021-10-20|2172.0|0|2172.0|0|39.0|0|0.0|100
0|2021-10-21|2179.0|0|2179.0|0|39.0|0|0.0|100
0|2021-10-22|2184.0|0|2184.0|0|39.0|0|0.0|100
0|2021-10-23|2185.0|0|2185.0|0|39.0|0|0.0|100
0|2021-10-24|2185.0|0|2185.0|0|39.0|0|0.0|100
0|2021-10-25|2186.0|0|2186.0|0|39.0|0|0.0|100
0|2021-10-26|2190.0|0|2190.0|0|41.0|0|0.0|100
0|2021-10-27|2196.0|0|2196.0|0|42.0|0|0.0|100
0|2021-10-28|2195.0|0|2195.0|0|42.0|0|0.0|100
0|2021-10-29|2199.0|0|2199.0|0|42.0|0|0.0|100
0|2021-10-30|2200.0|0|2200.0|0|42.0|0|0.0|100
0|2021-10-31|2202.0|0|2202.0|0|42.0|0|0.0|100
0|2021-11-01|2202.0|0|2202.0|0|42.0|0|0.0|100
0|2021-11-02|2206.0|0|2206.0|0|44.0|0|0.0|100
0|2021-11-03|2204.0|0|2204.0|0|44.0|0|0.0|100
0|2021-11-04|2210.0|0|2210.0|0|44.0|0|0.0|100
0|2021-11-05|2214.0|0|2214.0|0|44.0|0|0.0|100
0|2021-11-06|2219.0|0|2219.0|0|44.0|0|0.0|100
0|2021-11-07|2219.0|0|2219.0|0|44.0|0|0.0|100
0|2021-11-08|2221.0|0|2221.0|0|44.0|0|0.0|100
0|2021-11-09|2222.0|0|2222.0|0|44.0|0|0.0|100
0|2021-11-10|2222.0|0|2224.0|0|44.0|0|0.0|100
0|2021-11-11|2224.0|0|2224.0|0|45.0|0|0.0|100
0|2021-11-12|2226.0|0|2226.0|0|45.0|0|0.0|100
0|2021-11-13|2228.0|0|2228.0|0|45.0|0|0.0|100
0|2021-11-14|2228.0|0|2228.0|0|45.0|0|0.0|100
0|2021-11-15|2229.0|0|2229.0|0|45.0|0|0.0|100
0|2021-11-16|2233.0|0|2233.0|0|45.0|0|0.0|100
0|2021-11-17|2237.0|0|2237.0|0|45.0|0|0.0|100
0|2021-11-18|2339.0|0|2339.0|0|45.0|0|0.0|100
0|2021-11-19|2345.0|0|2345.0|0|45.0|0|0.0|100
0|2021-11-20|2348.0|0|2348.0|0|45.0|0|0.0|100
0|2021-11-21|2347.0|0|2347.0|0|45.0|0|0.0|100
0|2021-11-22|2347.0|0|2347.0|0|45.0|0|0.0|100
0|2021-11-23|2357.0|0|2357.0|0|45.0|0|0.0|100
0|2021-11-24|2361.0|0|2361.0|0|45.0|0|0.0|100
0|2021-11-25|2361.0|0|2361.0|0|45.0|0|0.0|100
0|2021-11-26|2361.0|0|2361.0|0|45.0|0|0.0|100
0|2021-11-27|2361.0|0|2361.0|0|45.0|0|0.0|100
0|2021-11-28|2361.0|0|2361.0|0|45.0|0|0.0|100
0|2021-11-29|2368.0|0|2368.0|0|45.0|0|0.0|100
0|2021-11-30|2372.0|0|2372.0|0|45.0|0|0.0|100
0|2021-12-01|2377.0|0|2377.0|0|45.0|0|0.0|100
0|2021-12-02|2377.0|0|2381.0|0|45.0|0|0.0|100
0|2021-12-03|2381.0|0|2381.0|0|49.0|0|0.0|100
0|2021-12-04|2386.0|0|2386.0|0|49.0|0|0.0|100
0|2021-12-05|2390.0|0|2390.0|0|49.0|0|0.0|100
0|2021-12-06|2391.0|0|2391.0|0|49.0|0|0.0|100
0|2021-12-07|2396.0|0|2396.0|0|49.0|0|0.0|100
0|2021-12-08|2400.0|0|2400.0|0|49.0|0|0.0|100
0|2021-12-09|2405.0|0|2405.0|0|49.0|0|0.0|100
0|2021-12-10|2408.0|0|2408.0|0|49.0|0|0.0|100
0|2021-12-11|2411.0|0|2411.0|0|49.0|0|0.0|100
0|2021-12-12|2417.0|0|2417.0|0|49.0|0|0.0|100
0|2021-12-13|2419.0|0|2419.0|0|49.0|0|0.0|100
0|2021-12-14|2419.0|0|2423.0|0|49.0|0|0.0|100
0|2021-12-15|2431.0|0|2431.0|0|49.0|0|0.0|100
0|2021-12-16|2440.0|0|2440.0|0|49.0|0|0.0|100
0|2021-12-17|2442.0|0|2442.0|0|49.0|0|0.0|100
0|2021-12-18|2453.0|0|2453.0|0|49.0|0|0.0|100
0|2021-12-19|2454.0|0|2454.0|0|49.0|0|0.0|100
0|2021-12-20|2454.0|0|2454.0|0|49.0|0|0.0|100
0|2021-12-21|2468.0|0|2468.0|0|49.0|0|0.0|100
0|2021-12-22|2475.0|0|2475.0|0|49.0|0|0.0|100
0|2021-12-23|2481.0|0|2481.0|0|49.0|0|0.0|100
0|2021-12-24|2481.0|0|2481.0|0|49.0|0|0.0|100
0|2021-12-25|2481.0|0|2481.0|0|49.0|0|0.0|100
0|2021-12-26|2481.0|0|2481.0|0|49.0|0|0.0|100
0|2021-12-27|2500.0|0|2500.0|0|49.0|0|0.0|100
0|2021-12-28|2511.0|0|2511.0|0|50.0|0|0.0|100
0|2021-12-29|2515.0|0|2515.0|0|49.0|0|0.0|100
0|2021-12-30|2519.0|0|2519.0|0|49.0|0|0.0|100
0|2021-12-31|2519.0|0|2519.0|0|49.0|0|0.0|100
0|2022-01-01|2519.0|0|2519.0|0|49.0|0|0.0|100
0|2022-01-02|2519.0|0|2519.0|0|49.0|0|0.0|100
0|2022-01-03|2519.0|0|2543.0|0|49.0|0|0.0|100
0|2022-01-04|2566.0|0|2566.0|0|50.0|0|0.0|100
0|2022-01-05|2572.0|0|2572.0|0|50.0|0|0.0|100
0|2022-01-06|2588.0|0|2588.0|0|50.0|0|0.0|100
0|2022-01-07|2593.0|0|2593.0|0|50.0|0|0.0|100
