|dates|BristolBay_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|BristolBay_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|BristolBay_Alaska_UnitedStates.Male_Total_Population.data|BristolBay_Alaska_UnitedStates.Male_Total_Population.missing|BristolBay_Alaska_UnitedStates.Female_Total_Population.data|BristolBay_Alaska_UnitedStates.Female_Total_Population.missing|BristolBay_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|BristolBay_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-18|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-19|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-20|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-21|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-22|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-23|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-24|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-25|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-26|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-27|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-28|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-29|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-30|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-10-31|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-01|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-02|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-03|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-04|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-05|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-06|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-07|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-08|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-09|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-10|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-11|127.0|0|468.0|0|409.0|0|167.0|0
0|2021-11-12|127.0|0|468.0|0|409.0|0|167.0|0
