|dates|Chase_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Chase_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Chase_Kansas_UnitedStates.Male_Total_Population.data|Chase_Kansas_UnitedStates.Male_Total_Population.missing|Chase_Kansas_UnitedStates.Female_Total_Population.data|Chase_Kansas_UnitedStates.Female_Total_Population.missing|Chase_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Chase_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-18|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-19|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-20|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-21|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-22|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-23|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-24|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-25|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-26|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-27|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-28|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-29|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-30|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-10-31|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-01|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-02|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-03|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-04|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-05|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-06|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-07|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-08|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-09|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-10|661.0|0|1338.0|0|1291.0|0|525.0|0
