|dates|Ada_Idaho_UnitedStates.JHU_ConfirmedCases.data|Ada_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Ada_Idaho_UnitedStates.NYT_ConfirmedCases.data|Ada_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Ada_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Ada_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Ada_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Ada_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|77510.0|0|77510.0|0|721.0|0|0.0|100
0|2021-10-18|77777.0|0|77777.0|0|724.0|0|0.0|100
0|2021-10-19|78178.0|0|78178.0|0|725.0|0|0.0|100
0|2021-10-20|78630.0|0|78630.0|0|737.0|0|0.0|100
0|2021-10-21|79015.0|0|79015.0|0|744.0|0|0.0|100
0|2021-10-22|79328.0|0|79328.0|0|752.0|0|0.0|100
0|2021-10-23|79573.0|0|79573.0|0|756.0|0|0.0|100
0|2021-10-24|79690.0|0|79690.0|0|756.0|0|0.0|100
0|2021-10-25|79857.0|0|79857.0|0|756.0|0|0.0|100
0|2021-10-26|80154.0|0|80154.0|0|763.0|0|0.0|100
0|2021-10-27|80452.0|0|80452.0|0|768.0|0|0.0|100
0|2021-10-28|80678.0|0|80678.0|0|770.0|0|0.0|100
0|2021-10-29|81082.0|0|81082.0|0|773.0|0|0.0|100
0|2021-10-30|81230.0|0|81230.0|0|777.0|0|0.0|100
0|2021-10-31|81282.0|0|81282.0|0|777.0|0|0.0|100
0|2021-11-01|81515.0|0|81515.0|0|777.0|0|0.0|100
0|2021-11-02|81728.0|0|81728.0|0|780.0|0|0.0|100
0|2021-11-03|82156.0|0|82156.0|0|782.0|0|0.0|100
0|2021-11-04|82355.0|0|82355.0|0|786.0|0|0.0|100
0|2021-11-05|82536.0|0|82536.0|0|790.0|0|0.0|100
0|2021-11-06|82677.0|0|82677.0|0|792.0|0|0.0|100
0|2021-11-07|82677.0|0|82677.0|0|792.0|0|0.0|100
0|2021-11-08|82887.0|0|82887.0|0|795.0|0|0.0|100
0|2021-11-09|83026.0|0|83026.0|0|795.0|0|0.0|100
0|2021-11-10|83026.0|0|83260.0|0|795.0|0|0.0|100
0|2021-11-11|83260.0|0|83260.0|0|797.0|0|0.0|100
0|2021-11-12|83432.0|0|83260.0|0|801.0|0|0.0|100
0|2021-11-13|83589.0|0|83432.0|0|803.0|0|0.0|100
0|2021-11-14|83589.0|0|83589.0|0|803.0|0|0.0|100
0|2021-11-15|83722.0|0|83722.0|0|803.0|0|0.0|100
0|2021-11-16|83850.0|0|83850.0|0|807.0|0|0.0|100
0|2021-11-17|84067.0|0|84067.0|0|811.0|0|0.0|100
0|2021-11-18|84250.0|0|84250.0|0|816.0|0|0.0|100
0|2021-11-19|84363.0|0|84250.0|0|818.0|0|0.0|100
0|2021-11-20|84478.0|0|84478.0|0|819.0|0|0.0|100
0|2021-11-21|84478.0|0|84478.0|0|819.0|0|0.0|100
0|2021-11-22|84621.0|0|84621.0|0|822.0|0|0.0|100
0|2021-11-23|84756.0|0|84756.0|0|825.0|0|0.0|100
0|2021-11-24|84903.0|0|84903.0|0|826.0|0|0.0|100
0|2021-11-25|84903.0|0|84903.0|0|826.0|0|0.0|100
0|2021-11-26|85044.0|0|85044.0|0|826.0|0|0.0|100
0|2021-11-27|85156.0|0|85156.0|0|833.0|0|0.0|100
0|2021-11-28|85156.0|0|85156.0|0|833.0|0|0.0|100
0|2021-11-29|85261.0|0|85261.0|0|833.0|0|0.0|100
0|2021-11-30|85403.0|0|85403.0|0|835.0|0|0.0|100
0|2021-12-01|85590.0|0|85590.0|0|838.0|0|0.0|100
0|2021-12-02|85590.0|0|85741.0|0|838.0|0|0.0|100
0|2021-12-03|85859.0|0|85741.0|0|839.0|0|0.0|100
0|2021-12-04|85933.0|0|85933.0|0|840.0|0|0.0|100
0|2021-12-05|85933.0|0|85933.0|0|840.0|0|0.0|100
0|2021-12-06|86072.0|0|86072.0|0|840.0|0|0.0|100
0|2021-12-07|86226.0|0|86226.0|0|844.0|0|0.0|100
0|2021-12-08|86443.0|0|86443.0|0|844.0|0|0.0|100
0|2021-12-09|86582.0|0|86582.0|0|845.0|0|0.0|100
0|2021-12-10|86663.0|0|86663.0|0|847.0|0|0.0|100
0|2021-12-11|86714.0|0|86714.0|0|847.0|0|0.0|100
0|2021-12-12|86714.0|0|86714.0|0|847.0|0|0.0|100
0|2021-12-13|86911.0|0|86911.0|0|847.0|0|0.0|100
0|2021-12-14|86911.0|0|86997.0|0|847.0|0|0.0|100
0|2021-12-15|87113.0|0|87113.0|0|850.0|0|0.0|100
0|2021-12-16|87200.0|0|87200.0|0|851.0|0|0.0|100
0|2021-12-17|87341.0|0|87341.0|0|854.0|0|0.0|100
0|2021-12-18|87381.0|0|87381.0|0|854.0|0|0.0|100
0|2021-12-19|87381.0|0|87381.0|0|854.0|0|0.0|100
0|2021-12-20|87535.0|0|87535.0|0|854.0|0|0.0|100
0|2021-12-21|87672.0|0|87672.0|0|855.0|0|0.0|100
0|2021-12-22|87750.0|0|87750.0|0|859.0|0|0.0|100
0|2021-12-23|87867.0|0|87867.0|0|859.0|0|0.0|100
0|2021-12-24|87867.0|0|87867.0|0|859.0|0|0.0|100
0|2021-12-25|87867.0|0|87867.0|0|859.0|0|0.0|100
0|2021-12-26|87867.0|0|87867.0|0|859.0|0|0.0|100
0|2021-12-27|88304.0|0|88304.0|0|861.0|0|0.0|100
0|2021-12-28|88698.0|0|88698.0|0|863.0|0|0.0|100
0|2021-12-29|88905.0|0|88905.0|0|865.0|0|0.0|100
0|2021-12-30|89225.0|0|89225.0|0|865.0|0|0.0|100
0|2021-12-31|89225.0|0|89225.0|0|865.0|0|0.0|100
0|2022-01-01|89225.0|0|89225.0|0|865.0|0|0.0|100
0|2022-01-02|89225.0|0|89225.0|0|865.0|0|0.0|100
0|2022-01-03|89728.0|0|89728.0|0|865.0|0|0.0|100
0|2022-01-04|90151.0|0|90151.0|0|868.0|0|0.0|100
0|2022-01-05|90630.0|0|90630.0|0|870.0|0|0.0|100
0|2022-01-06|91092.0|0|91092.0|0|872.0|0|0.0|100
0|2022-01-07|91221.0|0|91221.0|0|877.0|0|0.0|100
0|2022-01-08|91349.0|0|91349.0|0|879.0|0|0.0|100
0|2022-01-09|91349.0|0|91349.0|0|879.0|0|0.0|100
0|2022-01-10|91690.0|0|91690.0|0|879.0|0|0.0|100
0|2022-01-11|92107.0|0|92107.0|0|882.0|0|0.0|100
0|2022-01-12|92688.0|0|92688.0|0|886.0|0|0.0|100
0|2022-01-13|92688.0|0|93200.0|0|886.0|0|0.0|100
0|2022-01-14|93969.0|0|93969.0|0|888.0|0|0.0|100
