|dates|Wichita_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Wichita_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Wichita_Kansas_UnitedStates.Male_Total_Population.data|Wichita_Kansas_UnitedStates.Male_Total_Population.missing|Wichita_Kansas_UnitedStates.Female_Total_Population.data|Wichita_Kansas_UnitedStates.Female_Total_Population.missing|Wichita_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Wichita_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-18|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-19|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-20|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-21|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-22|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-23|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-24|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-25|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-26|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-27|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-28|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-29|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-30|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-10-31|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-01|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-02|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-03|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-04|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-05|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-06|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-07|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-08|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-09|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-10|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-11|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-12|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-13|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-14|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-15|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-16|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-17|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-18|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-19|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-20|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-21|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-22|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-23|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-24|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-25|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-26|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-27|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-28|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-29|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-11-30|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-01|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-02|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-03|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-04|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-05|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-06|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-07|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-08|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-09|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-10|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-11|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-12|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-13|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-14|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-15|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-16|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-17|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-18|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-19|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-20|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-21|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-22|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-23|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-24|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-25|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-26|426.0|0|1073.0|0|1032.0|0|549.0|0
0|2021-12-27|426.0|0|1073.0|0|1032.0|0|549.0|0
