|dates|Keokuk_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Keokuk_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Keokuk_Iowa_UnitedStates.Male_Total_Population.data|Keokuk_Iowa_UnitedStates.Male_Total_Population.missing|Keokuk_Iowa_UnitedStates.Female_Total_Population.data|Keokuk_Iowa_UnitedStates.Female_Total_Population.missing|Keokuk_Iowa_UnitedStates.MaleAndFemale_Under18_Population.data|Keokuk_Iowa_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-18|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-19|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-20|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-21|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-22|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-23|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-24|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-25|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-26|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-27|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-28|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-29|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-30|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-10-31|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-01|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-02|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-03|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-04|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-05|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-06|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-07|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-08|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-09|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-10|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-11|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-12|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-13|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-14|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-15|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-16|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-17|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-18|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-19|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-20|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-21|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-22|2192.0|0|5201.0|0|5024.0|0|2346.0|0
0|2021-11-23|2192.0|0|5201.0|0|5024.0|0|2346.0|0
