|dates|Jersey_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jersey_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jersey_Illinois_UnitedStates.Male_Total_Population.data|Jersey_Illinois_UnitedStates.Male_Total_Population.missing|Jersey_Illinois_UnitedStates.Female_Total_Population.data|Jersey_Illinois_UnitedStates.Female_Total_Population.missing|Jersey_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Jersey_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-18|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-19|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-20|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-21|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-22|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-23|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-24|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-25|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-26|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-27|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-28|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-29|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-30|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-10-31|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-01|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-02|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-03|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-04|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-05|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-06|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-07|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-08|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-09|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-10|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-11|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-12|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-13|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-14|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-15|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-16|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-17|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-18|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-19|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-20|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-21|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-22|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-23|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-24|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-25|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-26|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-27|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-28|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-29|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-11-30|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-12-01|4260.0|0|10677.0|0|11170.0|0|4455.0|0
0|2021-12-02|4260.0|0|10677.0|0|11170.0|0|4455.0|0
