|dates|Wabaunsee_Kansas_UnitedStates.JHU_ConfirmedCases.data|Wabaunsee_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Wabaunsee_Kansas_UnitedStates.NYT_ConfirmedCases.data|Wabaunsee_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Wabaunsee_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Wabaunsee_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Wabaunsee_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Wabaunsee_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|892.0|0|892.0|0|18.0|0|0.0|100
0|2021-10-18|899.0|0|899.0|0|18.0|0|0.0|100
0|2021-10-19|899.0|0|899.0|0|18.0|0|0.0|100
0|2021-10-20|901.0|0|901.0|0|18.0|0|0.0|100
0|2021-10-21|901.0|0|901.0|0|18.0|0|0.0|100
0|2021-10-22|904.0|0|904.0|0|18.0|0|0.0|100
0|2021-10-23|904.0|0|904.0|0|18.0|0|0.0|100
0|2021-10-24|904.0|0|904.0|0|18.0|0|0.0|100
0|2021-10-25|907.0|0|907.0|0|18.0|0|0.0|100
0|2021-10-26|907.0|0|907.0|0|18.0|0|0.0|100
0|2021-10-27|912.0|0|912.0|0|18.0|0|0.0|100
0|2021-10-28|912.0|0|912.0|0|18.0|0|0.0|100
0|2021-10-29|919.0|0|919.0|0|18.0|0|0.0|100
0|2021-10-30|919.0|0|919.0|0|18.0|0|0.0|100
0|2021-10-31|919.0|0|919.0|0|18.0|0|0.0|100
0|2021-11-01|920.0|0|920.0|0|18.0|0|0.0|100
0|2021-11-02|920.0|0|920.0|0|18.0|0|0.0|100
0|2021-11-03|927.0|0|927.0|0|18.0|0|0.0|100
0|2021-11-04|927.0|0|927.0|0|18.0|0|0.0|100
0|2021-11-05|930.0|0|930.0|0|18.0|0|0.0|100
0|2021-11-06|930.0|0|930.0|0|18.0|0|0.0|100
0|2021-11-07|930.0|0|930.0|0|18.0|0|0.0|100
0|2021-11-08|935.0|0|935.0|0|18.0|0|0.0|100
0|2021-11-09|935.0|0|935.0|0|18.0|0|0.0|100
0|2021-11-10|944.0|0|944.0|0|18.0|0|0.0|100
0|2021-11-11|944.0|0|944.0|0|18.0|0|0.0|100
0|2021-11-12|951.0|0|951.0|0|18.0|0|0.0|100
0|2021-11-13|951.0|0|951.0|0|18.0|0|0.0|100
0|2021-11-14|951.0|0|951.0|0|18.0|0|0.0|100
0|2021-11-15|956.0|0|956.0|0|18.0|0|0.0|100
0|2021-11-16|956.0|0|956.0|0|18.0|0|0.0|100
0|2021-11-17|959.0|0|959.0|0|18.0|0|0.0|100
0|2021-11-18|959.0|0|959.0|0|18.0|0|0.0|100
0|2021-11-19|965.0|0|965.0|0|18.0|0|0.0|100
0|2021-11-20|965.0|0|965.0|0|18.0|0|0.0|100
0|2021-11-21|965.0|0|965.0|0|18.0|0|0.0|100
0|2021-11-22|971.0|0|971.0|0|18.0|0|0.0|100
0|2021-11-23|971.0|0|971.0|0|18.0|0|0.0|100
0|2021-11-24|971.0|0|978.0|0|18.0|0|0.0|100
0|2021-11-25|978.0|0|978.0|0|18.0|0|0.0|100
0|2021-11-26|978.0|0|978.0|0|18.0|0|0.0|100
0|2021-11-27|978.0|0|978.0|0|18.0|0|0.0|100
0|2021-11-28|978.0|0|978.0|0|18.0|0|0.0|100
0|2021-11-29|986.0|0|986.0|0|18.0|0|0.0|100
0|2021-11-30|986.0|0|986.0|0|18.0|0|0.0|100
0|2021-12-01|1003.0|0|1003.0|0|18.0|0|0.0|100
0|2021-12-02|1003.0|0|1003.0|0|18.0|0|0.0|100
0|2021-12-03|1003.0|0|1018.0|0|18.0|0|0.0|100
0|2021-12-04|1018.0|0|1018.0|0|18.0|0|0.0|100
0|2021-12-05|1018.0|0|1018.0|0|18.0|0|0.0|100
0|2021-12-06|1034.0|0|1034.0|0|18.0|0|0.0|100
0|2021-12-07|1034.0|0|1034.0|0|18.0|0|0.0|100
0|2021-12-08|1053.0|0|1053.0|0|18.0|0|0.0|100
0|2021-12-09|1053.0|0|1053.0|0|18.0|0|0.0|100
0|2021-12-10|1074.0|0|1074.0|0|18.0|0|0.0|100
0|2021-12-11|1074.0|0|1074.0|0|18.0|0|0.0|100
0|2021-12-12|1074.0|0|1074.0|0|18.0|0|0.0|100
0|2021-12-13|1097.0|0|1097.0|0|18.0|0|0.0|100
0|2021-12-14|1097.0|0|1097.0|0|18.0|0|0.0|100
0|2021-12-15|1132.0|0|1132.0|0|18.0|0|0.0|100
