|dates|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|McIntosh_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|McIntosh_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|445.0|0|445.0|0|8.0|0|0.0|100
0|2021-10-18|446.0|0|446.0|0|8.0|0|0.0|100
0|2021-10-19|448.0|0|448.0|0|8.0|0|0.0|100
0|2021-10-20|450.0|0|450.0|0|8.0|0|0.0|100
0|2021-10-21|452.0|0|452.0|0|8.0|0|0.0|100
0|2021-10-22|453.0|0|453.0|0|8.0|0|0.0|100
0|2021-10-23|454.0|0|454.0|0|8.0|0|0.0|100
0|2021-10-24|454.0|0|454.0|0|8.0|0|0.0|100
0|2021-10-25|455.0|0|455.0|0|8.0|0|0.0|100
0|2021-10-26|456.0|0|456.0|0|8.0|0|0.0|100
0|2021-10-27|456.0|0|456.0|0|8.0|0|0.0|100
0|2021-10-28|457.0|0|457.0|0|8.0|0|0.0|100
0|2021-10-29|457.0|0|457.0|0|8.0|0|0.0|100
0|2021-10-30|457.0|0|457.0|0|8.0|0|0.0|100
0|2021-10-31|464.0|0|464.0|0|8.0|0|0.0|100
0|2021-11-01|465.0|0|465.0|0|8.0|0|0.0|100
0|2021-11-02|469.0|0|469.0|0|8.0|0|0.0|100
0|2021-11-03|474.0|0|474.0|0|8.0|0|0.0|100
0|2021-11-04|474.0|0|474.0|0|8.0|0|0.0|100
0|2021-11-05|480.0|0|480.0|0|8.0|0|0.0|100
0|2021-11-06|482.0|0|482.0|0|8.0|0|0.0|100
0|2021-11-07|483.0|0|483.0|0|8.0|0|0.0|100
0|2021-11-08|483.0|0|483.0|0|8.0|0|0.0|100
0|2021-11-09|484.0|0|484.0|0|8.0|0|0.0|100
0|2021-11-10|484.0|0|487.0|0|8.0|0|0.0|100
0|2021-11-11|490.0|0|490.0|0|8.0|0|0.0|100
0|2021-11-12|495.0|0|495.0|0|8.0|0|0.0|100
0|2021-11-13|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-11-14|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-11-15|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-11-16|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-11-17|498.0|0|498.0|0|8.0|0|0.0|100
0|2021-11-18|500.0|0|500.0|0|8.0|0|0.0|100
0|2021-11-19|502.0|0|502.0|0|8.0|0|0.0|100
0|2021-11-20|504.0|0|504.0|0|9.0|0|0.0|100
0|2021-11-21|504.0|0|504.0|0|9.0|0|0.0|100
0|2021-11-22|505.0|0|505.0|0|9.0|0|0.0|100
0|2021-11-23|506.0|0|506.0|0|9.0|0|0.0|100
0|2021-11-24|508.0|0|508.0|0|9.0|0|0.0|100
0|2021-11-25|510.0|0|510.0|0|9.0|0|0.0|100
0|2021-11-26|513.0|0|513.0|0|9.0|0|0.0|100
0|2021-11-27|513.0|0|513.0|0|9.0|0|0.0|100
0|2021-11-28|513.0|0|513.0|0|9.0|0|0.0|100
0|2021-11-29|513.0|0|513.0|0|9.0|0|0.0|100
0|2021-11-30|513.0|0|513.0|0|9.0|0|0.0|100
0|2021-12-01|515.0|0|515.0|0|9.0|0|0.0|100
0|2021-12-02|517.0|0|517.0|0|9.0|0|0.0|100
0|2021-12-03|517.0|0|519.0|0|9.0|0|0.0|100
0|2021-12-04|520.0|0|520.0|0|9.0|0|0.0|100
0|2021-12-05|520.0|0|520.0|0|9.0|0|0.0|100
0|2021-12-06|520.0|0|520.0|0|9.0|0|0.0|100
0|2021-12-07|520.0|0|520.0|0|9.0|0|0.0|100
0|2021-12-08|523.0|0|523.0|0|9.0|0|0.0|100
