|dates|Jefferson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jefferson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jefferson_Nebraska_UnitedStates.Male_Total_Population.data|Jefferson_Nebraska_UnitedStates.Male_Total_Population.missing|Jefferson_Nebraska_UnitedStates.Female_Total_Population.data|Jefferson_Nebraska_UnitedStates.Female_Total_Population.missing|Jefferson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Jefferson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-18|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-19|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-20|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-21|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-22|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-23|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-24|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-25|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-26|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-27|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-28|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-29|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-30|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-10-31|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-01|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-02|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-03|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-04|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-05|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-06|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-07|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-08|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-09|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-10|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-11|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-12|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-13|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-14|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-15|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-16|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-17|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-18|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-19|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-20|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-21|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-22|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-23|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-24|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-25|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-26|1698.0|0|3511.0|0|3586.0|0|1564.0|0
0|2021-11-27|1698.0|0|3511.0|0|3586.0|0|1564.0|0
