|dates|Fleming_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Fleming_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Fleming_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Fleming_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Fleming_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Fleming_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Fleming_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Fleming_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2087.0|0|2087.0|0|32.0|0|0.0|100
0|2021-10-18|2094.0|0|2094.0|0|34.0|0|0.0|100
0|2021-10-19|2097.0|0|2097.0|0|34.0|0|0.0|100
0|2021-10-20|2101.0|0|2101.0|0|34.0|0|0.0|100
0|2021-10-21|2103.0|0|2103.0|0|34.0|0|0.0|100
0|2021-10-22|2104.0|0|2104.0|0|34.0|0|0.0|100
0|2021-10-23|2104.0|0|2104.0|0|34.0|0|0.0|100
0|2021-10-24|2104.0|0|2104.0|0|34.0|0|0.0|100
0|2021-10-25|2116.0|0|2116.0|0|34.0|0|0.0|100
0|2021-10-26|2118.0|0|2118.0|0|34.0|0|0.0|100
0|2021-10-27|2122.0|0|2122.0|0|34.0|0|0.0|100
0|2021-10-28|2125.0|0|2125.0|0|34.0|0|0.0|100
0|2021-10-29|2134.0|0|2134.0|0|34.0|0|0.0|100
0|2021-10-30|2134.0|0|2134.0|0|34.0|0|0.0|100
0|2021-10-31|2134.0|0|2134.0|0|34.0|0|0.0|100
0|2021-11-01|2153.0|0|2153.0|0|34.0|0|0.0|100
0|2021-11-02|2155.0|0|2155.0|0|34.0|0|0.0|100
0|2021-11-03|2161.0|0|2161.0|0|34.0|0|0.0|100
0|2021-11-04|2169.0|0|2169.0|0|34.0|0|0.0|100
0|2021-11-05|2171.0|0|2171.0|0|35.0|0|0.0|100
0|2021-11-06|2171.0|0|2171.0|0|35.0|0|0.0|100
0|2021-11-07|2171.0|0|2171.0|0|35.0|0|0.0|100
0|2021-11-08|2178.0|0|2178.0|0|35.0|0|0.0|100
0|2021-11-09|2196.0|0|2196.0|0|35.0|0|0.0|100
0|2021-11-10|2196.0|0|2205.0|0|35.0|0|0.0|100
0|2021-11-11|2205.0|0|2205.0|0|35.0|0|0.0|100
0|2021-11-12|2211.0|0|2211.0|0|36.0|0|0.0|100
0|2021-11-13|2211.0|0|2211.0|0|36.0|0|0.0|100
0|2021-11-14|2211.0|0|2211.0|0|36.0|0|0.0|100
0|2021-11-15|2222.0|0|2222.0|0|36.0|0|0.0|100
0|2021-11-16|2227.0|0|2227.0|0|36.0|0|0.0|100
0|2021-11-17|2243.0|0|2243.0|0|36.0|0|0.0|100
0|2021-11-18|2252.0|0|2252.0|0|36.0|0|0.0|100
0|2021-11-19|2220.0|0|2220.0|0|37.0|0|0.0|100
