|dates|Sullivan_Missouri_UnitedStates.JHU_ConfirmedCases.data|Sullivan_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_Missouri_UnitedStates.NYT_ConfirmedCases.data|Sullivan_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Sullivan_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1181.0|0|1181.0|0|14.0|0|0.0|100
0|2021-10-18|1181.0|0|1181.0|0|14.0|0|0.0|100
0|2021-10-19|1182.0|0|1182.0|0|15.0|0|0.0|100
0|2021-10-20|1189.0|0|1189.0|0|14.0|0|0.0|100
0|2021-10-21|1195.0|0|1195.0|0|14.0|0|0.0|100
0|2021-10-22|1200.0|0|1200.0|0|14.0|0|0.0|100
0|2021-10-23|1208.0|0|1208.0|0|14.0|0|0.0|100
0|2021-10-24|1208.0|0|1208.0|0|14.0|0|0.0|100
0|2021-10-25|1208.0|0|1208.0|0|14.0|0|0.0|100
0|2021-10-26|1213.0|0|1213.0|0|14.0|0|0.0|100
0|2021-10-27|1217.0|0|1217.0|0|14.0|0|0.0|100
0|2021-10-28|1219.0|0|1219.0|0|14.0|0|0.0|100
0|2021-10-29|1222.0|0|1222.0|0|14.0|0|0.0|100
0|2021-10-30|1225.0|0|1225.0|0|14.0|0|0.0|100
0|2021-10-31|1227.0|0|1227.0|0|14.0|0|0.0|100
0|2021-11-01|1227.0|0|1227.0|0|14.0|0|0.0|100
0|2021-11-02|1233.0|0|1233.0|0|15.0|0|0.0|100
0|2021-11-03|1234.0|0|1234.0|0|15.0|0|0.0|100
0|2021-11-04|1234.0|0|1234.0|0|15.0|0|0.0|100
0|2021-11-05|1234.0|0|1234.0|0|15.0|0|0.0|100
0|2021-11-06|1235.0|0|1235.0|0|15.0|0|0.0|100
0|2021-11-07|1235.0|0|1235.0|0|15.0|0|0.0|100
0|2021-11-08|1236.0|0|1236.0|0|15.0|0|0.0|100
0|2021-11-09|1238.0|0|1238.0|0|15.0|0|0.0|100
0|2021-11-10|1238.0|0|1238.0|0|15.0|0|0.0|100
0|2021-11-11|1238.0|0|1238.0|0|15.0|0|0.0|100
0|2021-11-12|1239.0|0|1239.0|0|15.0|0|0.0|100
0|2021-11-13|1240.0|0|1240.0|0|15.0|0|0.0|100
0|2021-11-14|1241.0|0|1241.0|0|15.0|0|0.0|100
0|2021-11-15|1241.0|0|1241.0|0|15.0|0|0.0|100
0|2021-11-16|1245.0|0|1245.0|0|15.0|0|0.0|100
0|2021-11-17|1246.0|0|1246.0|0|15.0|0|0.0|100
0|2021-11-18|1265.0|0|1265.0|0|15.0|0|0.0|100
0|2021-11-19|1269.0|0|1269.0|0|15.0|0|0.0|100
0|2021-11-20|1270.0|0|1270.0|0|15.0|0|0.0|100
0|2021-11-21|1270.0|0|1270.0|0|15.0|0|0.0|100
0|2021-11-22|1270.0|0|1270.0|0|15.0|0|0.0|100
0|2021-11-23|1271.0|0|1271.0|0|15.0|0|0.0|100
0|2021-11-24|1273.0|0|1273.0|0|15.0|0|0.0|100
0|2021-11-25|1273.0|0|1273.0|0|15.0|0|0.0|100
0|2021-11-26|1273.0|0|1273.0|0|15.0|0|0.0|100
0|2021-11-27|1273.0|0|1273.0|0|15.0|0|0.0|100
0|2021-11-28|1273.0|0|1273.0|0|15.0|0|0.0|100
0|2021-11-29|1276.0|0|1276.0|0|15.0|0|0.0|100
0|2021-11-30|1278.0|0|1278.0|0|15.0|0|0.0|100
0|2021-12-01|1281.0|0|1281.0|0|15.0|0|0.0|100
0|2021-12-02|1281.0|0|1284.0|0|15.0|0|0.0|100
0|2021-12-03|1284.0|0|1284.0|0|17.0|0|0.0|100
0|2021-12-04|1287.0|0|1287.0|0|17.0|0|0.0|100
0|2021-12-05|1288.0|0|1288.0|0|17.0|0|0.0|100
0|2021-12-06|1290.0|0|1290.0|0|17.0|0|0.0|100
0|2021-12-07|1291.0|0|1291.0|0|17.0|0|0.0|100
0|2021-12-08|1295.0|0|1295.0|0|17.0|0|0.0|100
0|2021-12-09|1296.0|0|1296.0|0|17.0|0|0.0|100
