|dates|Crane_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Crane_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Crane_Texas_UnitedStates.Male_Total_Population.data|Crane_Texas_UnitedStates.Male_Total_Population.missing|Crane_Texas_UnitedStates.Female_Total_Population.data|Crane_Texas_UnitedStates.Female_Total_Population.missing|Crane_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Crane_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-18|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-19|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-20|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-21|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-22|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-23|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-24|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-25|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-26|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-27|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-28|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-29|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-30|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-10-31|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-01|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-02|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-03|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-04|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-05|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-06|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-07|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-08|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-09|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-10|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2021-11-11|572.0|0|2415.0|0|2379.0|0|1409.0|0
