|dates|Marshall_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Marshall_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Marshall_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Marshall_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2681.0|0|2681.0|0|26.0|0|0.0|100
0|2021-10-18|2681.0|0|2681.0|0|26.0|0|0.0|100
0|2021-10-19|2681.0|0|2681.0|0|26.0|0|0.0|100
0|2021-10-20|2695.0|0|2695.0|0|27.0|0|0.0|100
0|2021-10-21|2695.0|0|2695.0|0|27.0|0|0.0|100
0|2021-10-22|2695.0|0|2695.0|0|27.0|0|0.0|100
0|2021-10-23|2695.0|0|2695.0|0|27.0|0|0.0|100
0|2021-10-24|2695.0|0|2695.0|0|27.0|0|0.0|100
0|2021-10-25|2695.0|0|2695.0|0|27.0|0|0.0|100
0|2021-10-26|2695.0|0|2695.0|0|27.0|0|0.0|100
0|2021-10-27|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-10-28|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-10-29|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-10-30|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-10-31|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-11-01|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-11-02|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-11-03|2758.0|0|2758.0|0|28.0|0|0.0|100
0|2021-11-04|2758.0|0|2758.0|0|28.0|0|0.0|100
0|2021-11-05|2758.0|0|2758.0|0|28.0|0|0.0|100
0|2021-11-06|2758.0|0|2758.0|0|28.0|0|0.0|100
0|2021-11-07|2758.0|0|2758.0|0|28.0|0|0.0|100
0|2021-11-08|2758.0|0|2758.0|0|28.0|0|0.0|100
0|2021-11-09|2758.0|0|2758.0|0|28.0|0|0.0|100
0|2021-11-10|2758.0|0|2768.0|0|28.0|0|0.0|100
0|2021-11-11|2758.0|0|2768.0|0|28.0|0|0.0|100
0|2021-11-12|2768.0|0|2768.0|0|28.0|0|0.0|100
0|2021-11-13|2768.0|0|2768.0|0|28.0|0|0.0|100
0|2021-11-14|2768.0|0|2768.0|0|28.0|0|0.0|100
0|2021-11-15|2768.0|0|2768.0|0|28.0|0|0.0|100
0|2021-11-16|2768.0|0|2768.0|0|28.0|0|0.0|100
0|2021-11-17|2810.0|0|2810.0|0|28.0|0|0.0|100
0|2021-11-18|2810.0|0|2810.0|0|28.0|0|0.0|100
0|2021-11-19|2810.0|0|2810.0|0|28.0|0|0.0|100
0|2021-11-20|2810.0|0|2810.0|0|28.0|0|0.0|100
0|2021-11-21|2810.0|0|2810.0|0|28.0|0|0.0|100
0|2021-11-22|2810.0|0|2810.0|0|28.0|0|0.0|100
0|2021-11-23|2810.0|0|2810.0|0|28.0|0|0.0|100
0|2021-11-24|2834.0|0|2834.0|0|28.0|0|0.0|100
0|2021-11-25|2834.0|0|2834.0|0|28.0|0|0.0|100
0|2021-11-26|2834.0|0|2834.0|0|28.0|0|0.0|100
0|2021-11-27|2834.0|0|2834.0|0|28.0|0|0.0|100
0|2021-11-28|2834.0|0|2834.0|0|28.0|0|0.0|100
0|2021-11-29|2834.0|0|2834.0|0|28.0|0|0.0|100
0|2021-11-30|2834.0|0|2834.0|0|28.0|0|0.0|100
0|2021-12-01|2860.0|0|2860.0|0|28.0|0|0.0|100
0|2021-12-02|2860.0|0|2860.0|0|28.0|0|0.0|100
0|2021-12-03|2860.0|0|2860.0|0|28.0|0|0.0|100
0|2021-12-04|2860.0|0|2860.0|0|28.0|0|0.0|100
0|2021-12-05|2860.0|0|2860.0|0|28.0|0|0.0|100
0|2021-12-06|2860.0|0|2860.0|0|28.0|0|0.0|100
0|2021-12-07|2860.0|0|2860.0|0|28.0|0|0.0|100
0|2021-12-08|2886.0|0|2886.0|0|28.0|0|0.0|100
0|2021-12-09|2886.0|0|2886.0|0|28.0|0|0.0|100
0|2021-12-10|2886.0|0|2886.0|0|28.0|0|0.0|100
0|2021-12-11|2886.0|0|2886.0|0|28.0|0|0.0|100
0|2021-12-12|2886.0|0|2886.0|0|28.0|0|0.0|100
0|2021-12-13|2886.0|0|2886.0|0|28.0|0|0.0|100
0|2021-12-14|2886.0|0|2886.0|0|28.0|0|0.0|100
0|2021-12-15|2918.0|0|2918.0|0|28.0|0|0.0|100
0|2021-12-16|2918.0|0|2918.0|0|28.0|0|0.0|100
0|2021-12-17|2918.0|0|2918.0|0|28.0|0|0.0|100
0|2021-12-18|2918.0|0|2918.0|0|28.0|0|0.0|100
0|2021-12-19|2918.0|0|2918.0|0|28.0|0|0.0|100
0|2021-12-20|2918.0|0|2918.0|0|28.0|0|0.0|100
0|2021-12-21|2918.0|0|2918.0|0|28.0|0|0.0|100
0|2021-12-22|2937.0|0|2937.0|0|28.0|0|0.0|100
0|2021-12-23|2937.0|0|2937.0|0|31.0|0|0.0|100
0|2021-12-24|2937.0|0|2937.0|0|31.0|0|0.0|100
0|2021-12-25|2937.0|0|2937.0|0|31.0|0|0.0|100
0|2021-12-26|2937.0|0|2937.0|0|31.0|0|0.0|100
0|2021-12-27|2937.0|0|2937.0|0|31.0|0|0.0|100
0|2021-12-28|2937.0|0|2937.0|0|31.0|0|0.0|100
0|2021-12-29|2959.0|0|2959.0|0|31.0|0|0.0|100
0|2021-12-30|2959.0|0|2959.0|0|31.0|0|0.0|100
0|2021-12-31|2959.0|0|2959.0|0|31.0|0|0.0|100
0|2022-01-01|2959.0|0|2959.0|0|31.0|0|0.0|100
0|2022-01-02|2959.0|0|2959.0|0|31.0|0|0.0|100
0|2022-01-03|2959.0|0|2959.0|0|31.0|0|0.0|100
0|2022-01-04|2959.0|0|2959.0|0|31.0|0|0.0|100
0|2022-01-05|3014.0|0|3014.0|0|31.0|0|0.0|100
0|2022-01-06|3014.0|0|3014.0|0|31.0|0|0.0|100
0|2022-01-07|3014.0|0|3014.0|0|31.0|0|0.0|100
0|2022-01-08|3014.0|0|3014.0|0|31.0|0|0.0|100
0|2022-01-09|3014.0|0|3014.0|0|31.0|0|0.0|100
0|2022-01-10|3014.0|0|3014.0|0|31.0|0|0.0|100
0|2022-01-11|3014.0|0|3014.0|0|31.0|0|0.0|100
0|2022-01-12|3379.0|0|3379.0|0|31.0|0|0.0|100
0|2022-01-13|3379.0|0|3379.0|0|31.0|0|0.0|100
0|2022-01-14|3379.0|0|3379.0|0|31.0|0|0.0|100
0|2022-01-15|3379.0|0|3379.0|0|31.0|0|0.0|100
0|2022-01-16|3379.0|0|3379.0|0|31.0|0|0.0|100
0|2022-01-17|3379.0|0|0.0|100|31.0|0|0.0|100
