|dates|St.Charles_Missouri_UnitedStates.JHU_ConfirmedCases.data|St.Charles_Missouri_UnitedStates.JHU_ConfirmedCases.missing|St.Charles_Missouri_UnitedStates.NYT_ConfirmedCases.data|St.Charles_Missouri_UnitedStates.NYT_ConfirmedCases.missing|St.Charles_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|St.Charles_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|St.Charles_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|St.Charles_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|55390.0|0|61015.0|0|535.0|0|0.0|100
0|2021-10-18|55436.0|0|61105.0|0|535.0|0|0.0|100
0|2021-10-19|55484.0|0|61188.0|0|538.0|0|0.0|100
0|2021-10-20|55552.0|0|61265.0|0|541.0|0|0.0|100
0|2021-10-21|55637.0|0|61339.0|0|545.0|0|0.0|100
0|2021-10-22|55684.0|0|61409.0|0|546.0|0|0.0|100
0|2021-10-23|55760.0|0|61422.0|0|546.0|0|0.0|100
0|2021-10-24|55820.0|0|61490.0|0|544.0|0|0.0|100
0|2021-10-25|55848.0|0|61566.0|0|544.0|0|0.0|100
0|2021-10-26|55901.0|0|61631.0|0|550.0|0|0.0|100
0|2021-10-27|55974.0|0|61707.0|0|552.0|0|0.0|100
0|2021-10-28|56041.0|0|61772.0|0|552.0|0|0.0|100
0|2021-10-29|56101.0|0|61851.0|0|551.0|0|0.0|100
0|2021-10-30|56187.0|0|61851.0|0|551.0|0|0.0|100
0|2021-10-31|56247.0|0|62255.0|0|551.0|0|0.0|100
0|2021-11-01|56287.0|0|61967.0|0|551.0|0|0.0|100
0|2021-11-02|56325.0|0|62127.0|0|552.0|0|0.0|100
0|2021-11-03|56422.0|0|62242.0|0|553.0|0|0.0|100
0|2021-11-04|56499.0|0|62285.0|0|552.0|0|0.0|100
0|2021-11-05|56596.0|0|62439.0|0|552.0|0|0.0|100
0|2021-11-06|56688.0|0|62443.0|0|552.0|0|0.0|100
0|2021-11-07|56753.0|0|62443.0|0|552.0|0|0.0|100
0|2021-11-08|56796.0|0|62646.0|0|552.0|0|0.0|100
0|2021-11-09|56878.0|0|62752.0|0|558.0|0|0.0|100
0|2021-11-10|57002.0|0|62854.0|0|558.0|0|0.0|100
0|2021-11-11|57002.0|0|62953.0|0|558.0|0|0.0|100
0|2021-11-12|57207.0|0|63046.0|0|558.0|0|0.0|100
0|2021-11-13|57325.0|0|63056.0|0|558.0|0|0.0|100
0|2021-11-14|57405.0|0|63056.0|0|558.0|0|0.0|100
0|2021-11-15|57470.0|0|63312.0|0|558.0|0|0.0|100
0|2021-11-16|57553.0|0|63431.0|0|563.0|0|0.0|100
0|2021-11-17|57636.0|0|63569.0|0|563.0|0|0.0|100
0|2021-11-18|58190.0|0|63665.0|0|571.0|0|0.0|100
0|2021-11-19|58280.0|0|63789.0|0|575.0|0|0.0|100
0|2021-11-20|58399.0|0|63789.0|0|575.0|0|0.0|100
0|2021-11-21|58494.0|0|63789.0|0|575.0|0|0.0|100
0|2021-11-22|58552.0|0|64081.0|0|567.0|0|0.0|100
0|2021-11-23|58682.0|0|64252.0|0|571.0|0|0.0|100
0|2021-11-24|58799.0|0|64393.0|0|570.0|0|0.0|100
0|2021-11-25|58799.0|0|64390.0|0|570.0|0|0.0|100
