|dates|Deuel_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Deuel_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Deuel_SouthDakota_UnitedStates.Male_Total_Population.data|Deuel_SouthDakota_UnitedStates.Male_Total_Population.missing|Deuel_SouthDakota_UnitedStates.Female_Total_Population.data|Deuel_SouthDakota_UnitedStates.Female_Total_Population.missing|Deuel_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Deuel_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-18|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-19|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-20|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-21|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-22|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-23|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-24|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-25|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-26|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-27|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-28|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-29|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-30|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-10-31|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-01|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-02|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-03|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-04|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-05|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-06|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-07|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-08|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-09|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-10|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-11|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-12|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-13|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-14|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-15|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-16|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-17|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-18|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-19|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-20|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-21|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-22|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-23|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-24|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-25|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-26|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-27|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-28|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-29|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-11-30|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-12-01|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-12-02|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2021-12-03|949.0|0|2243.0|0|2094.0|0|1032.0|0
