|dates|Brown_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Brown_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Brown_Illinois_UnitedStates.Male_Total_Population.data|Brown_Illinois_UnitedStates.Male_Total_Population.missing|Brown_Illinois_UnitedStates.Female_Total_Population.data|Brown_Illinois_UnitedStates.Female_Total_Population.missing|Brown_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Brown_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-18|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-19|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-20|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-21|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-22|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-23|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-24|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-25|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-26|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-27|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-28|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-29|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-30|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-10-31|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-01|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-02|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-03|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-04|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-05|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-06|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-07|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-08|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-09|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-10|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-11|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-12|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-13|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-14|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-15|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-16|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-17|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-18|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-19|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-20|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-21|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-22|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-23|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-24|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-25|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-26|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-27|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-28|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-29|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-11-30|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-01|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-02|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-03|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-04|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-05|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-06|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-07|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-08|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-09|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-10|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-11|913.0|0|4245.0|0|2311.0|0|1041.0|0
0|2021-12-12|913.0|0|4245.0|0|2311.0|0|1041.0|0
