|dates|JudithBasin_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|JudithBasin_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|JudithBasin_Montana_UnitedStates.Male_Total_Population.data|JudithBasin_Montana_UnitedStates.Male_Total_Population.missing|JudithBasin_Montana_UnitedStates.Female_Total_Population.data|JudithBasin_Montana_UnitedStates.Female_Total_Population.missing|JudithBasin_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|JudithBasin_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-18|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-19|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-20|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-21|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-22|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-23|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-24|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-25|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-26|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-27|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-28|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-29|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-30|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-10-31|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-01|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-02|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-03|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-04|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-05|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-06|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-07|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-08|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-09|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-10|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-11|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-12|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-13|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-14|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-15|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-16|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-17|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-18|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-19|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-20|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-21|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-22|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-23|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-24|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-25|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-26|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-27|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-28|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-29|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-11-30|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-01|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-02|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-03|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-04|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-05|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-06|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-07|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-08|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-09|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-10|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-11|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-12|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-13|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-14|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-15|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-16|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-17|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-18|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-19|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-20|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-21|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-22|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-23|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-24|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-25|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-26|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-27|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-28|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-29|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-30|529.0|0|1009.0|0|943.0|0|378.0|0
0|2021-12-31|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-01|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-02|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-03|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-04|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-05|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-06|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-07|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-08|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-09|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-10|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-11|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-12|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-13|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-14|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-15|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-16|529.0|0|1009.0|0|943.0|0|378.0|0
0|2022-01-17|529.0|0|1009.0|0|943.0|0|378.0|0
