|dates|Monroe_NewYork_UnitedStates.JHU_ConfirmedCases.data|Monroe_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Monroe_NewYork_UnitedStates.NYT_ConfirmedCases.data|Monroe_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Monroe_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|83519.0|0|83520.0|0|1180.0|0|0.0|100
0|2021-10-18|83708.0|0|83709.0|0|1182.0|0|0.0|100
0|2021-10-19|83830.0|0|83831.0|0|1183.0|0|0.0|100
0|2021-10-20|84045.0|0|84046.0|0|1184.0|0|0.0|100
0|2021-10-21|84297.0|0|84298.0|0|1188.0|0|0.0|100
0|2021-10-22|84532.0|0|84533.0|0|1188.0|0|0.0|100
0|2021-10-23|84784.0|0|84785.0|0|1189.0|0|0.0|100
0|2021-10-24|84941.0|0|84942.0|0|1189.0|0|0.0|100
0|2021-10-25|85120.0|0|85121.0|0|1189.0|0|0.0|100
0|2021-10-26|85204.0|0|85205.0|0|1189.0|0|0.0|100
0|2021-10-27|85441.0|0|85442.0|0|1191.0|0|0.0|100
0|2021-10-28|85673.0|0|85674.0|0|1194.0|0|0.0|100
0|2021-10-29|85993.0|0|85994.0|0|1196.0|0|0.0|100
0|2021-10-30|86230.0|0|86230.0|0|1198.0|0|0.0|100
0|2021-10-31|86489.0|0|86489.0|0|1199.0|0|0.0|100
0|2021-11-01|86669.0|0|86670.0|0|1202.0|0|0.0|100
0|2021-11-02|86834.0|0|86835.0|0|1202.0|0|0.0|100
0|2021-11-03|87079.0|0|87080.0|0|1205.0|0|0.0|100
0|2021-11-04|87445.0|0|87446.0|0|1206.0|0|0.0|100
0|2021-11-05|87760.0|0|87761.0|0|1209.0|0|0.0|100
0|2021-11-06|88122.0|0|88123.0|0|1213.0|0|0.0|100
