|dates|Johnson_Kansas_UnitedStates.JHU_ConfirmedCases.data|Johnson_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Kansas_UnitedStates.NYT_ConfirmedCases.data|Johnson_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Johnson_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|76717.0|0|76717.0|0|912.0|0|0.0|100
0|2021-10-18|76959.0|0|76959.0|0|913.0|0|0.0|100
0|2021-10-19|76959.0|0|76959.0|0|913.0|0|0.0|100
0|2021-10-20|77181.0|0|77181.0|0|916.0|0|0.0|100
0|2021-10-21|77181.0|0|77181.0|0|916.0|0|0.0|100
0|2021-10-22|77388.0|0|77388.0|0|920.0|0|0.0|100
0|2021-10-23|77388.0|0|77388.0|0|920.0|0|0.0|100
0|2021-10-24|77388.0|0|77388.0|0|920.0|0|0.0|100
0|2021-10-25|77583.0|0|77583.0|0|921.0|0|0.0|100
0|2021-10-26|77583.0|0|77583.0|0|921.0|0|0.0|100
0|2021-10-27|77880.0|0|77880.0|0|931.0|0|0.0|100
0|2021-10-28|77880.0|0|77880.0|0|931.0|0|0.0|100
0|2021-10-29|78177.0|0|78177.0|0|932.0|0|0.0|100
0|2021-10-30|78177.0|0|78177.0|0|932.0|0|0.0|100
0|2021-10-31|78177.0|0|78177.0|0|932.0|0|0.0|100
0|2021-11-01|78348.0|0|78348.0|0|934.0|0|0.0|100
0|2021-11-02|78348.0|0|78348.0|0|934.0|0|0.0|100
0|2021-11-03|78574.0|0|78574.0|0|941.0|0|0.0|100
0|2021-11-04|78574.0|0|78574.0|0|941.0|0|0.0|100
0|2021-11-05|78852.0|0|78852.0|0|944.0|0|0.0|100
0|2021-11-06|78852.0|0|78852.0|0|944.0|0|0.0|100
0|2021-11-07|78852.0|0|78852.0|0|944.0|0|0.0|100
0|2021-11-08|79145.0|0|79145.0|0|950.0|0|0.0|100
0|2021-11-09|79145.0|0|79145.0|0|950.0|0|0.0|100
0|2021-11-10|79145.0|0|79476.0|0|950.0|0|0.0|100
0|2021-11-11|79476.0|0|79476.0|0|952.0|0|0.0|100
0|2021-11-12|79838.0|0|79838.0|0|952.0|0|0.0|100
0|2021-11-13|79838.0|0|79838.0|0|952.0|0|0.0|100
0|2021-11-14|79838.0|0|79838.0|0|952.0|0|0.0|100
0|2021-11-15|80155.0|0|80155.0|0|954.0|0|0.0|100
0|2021-11-16|80155.0|0|80155.0|0|954.0|0|0.0|100
0|2021-11-17|80595.0|0|80595.0|0|958.0|0|0.0|100
0|2021-11-18|80595.0|0|80595.0|0|958.0|0|0.0|100
0|2021-11-19|81055.0|0|81055.0|0|960.0|0|0.0|100
0|2021-11-20|81055.0|0|81055.0|0|960.0|0|0.0|100
0|2021-11-21|81055.0|0|81055.0|0|960.0|0|0.0|100
0|2021-11-22|81472.0|0|81472.0|0|962.0|0|0.0|100
0|2021-11-23|81472.0|0|81472.0|0|962.0|0|0.0|100
0|2021-11-24|81472.0|0|81815.0|0|962.0|0|0.0|100
