|dates|Pontotoc_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Pontotoc_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Pontotoc_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Pontotoc_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Pontotoc_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Pontotoc_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Pontotoc_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Pontotoc_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6609.0|0|6609.0|0|101.0|0|0.0|100
0|2021-10-18|6620.0|0|6620.0|0|102.0|0|0.0|100
0|2021-10-19|6645.0|0|6645.0|0|102.0|0|0.0|100
0|2021-10-20|6655.0|0|6655.0|0|102.0|0|0.0|100
0|2021-10-21|6659.0|0|6659.0|0|102.0|0|0.0|100
0|2021-10-22|6664.0|0|6664.0|0|102.0|0|0.0|100
0|2021-10-23|6664.0|0|6664.0|0|102.0|0|0.0|100
0|2021-10-24|6664.0|0|6664.0|0|102.0|0|0.0|100
0|2021-10-25|6677.0|0|6677.0|0|104.0|0|0.0|100
0|2021-10-26|6736.0|0|6736.0|0|104.0|0|0.0|100
0|2021-10-27|6761.0|0|6761.0|0|104.0|0|0.0|100
0|2021-10-28|6769.0|0|6769.0|0|104.0|0|0.0|100
0|2021-10-29|6779.0|0|6779.0|0|106.0|0|0.0|100
0|2021-10-30|6779.0|0|6779.0|0|106.0|0|0.0|100
0|2021-10-31|6779.0|0|6779.0|0|106.0|0|0.0|100
0|2021-11-01|6788.0|0|6788.0|0|106.0|0|0.0|100
0|2021-11-02|6802.0|0|6802.0|0|107.0|0|0.0|100
0|2021-11-03|6804.0|0|6804.0|0|107.0|0|0.0|100
0|2021-11-04|6812.0|0|6812.0|0|107.0|0|0.0|100
0|2021-11-05|6821.0|0|6821.0|0|107.0|0|0.0|100
0|2021-11-06|6821.0|0|6821.0|0|107.0|0|0.0|100
0|2021-11-07|6821.0|0|6821.0|0|107.0|0|0.0|100
0|2021-11-08|6833.0|0|6833.0|0|107.0|0|0.0|100
0|2021-11-09|6842.0|0|6842.0|0|108.0|0|0.0|100
0|2021-11-10|6842.0|0|6846.0|0|108.0|0|0.0|100
0|2021-11-11|6846.0|0|6846.0|0|108.0|0|0.0|100
0|2021-11-12|6858.0|0|6858.0|0|108.0|0|0.0|100
0|2021-11-13|6858.0|0|6858.0|0|108.0|0|0.0|100
0|2021-11-14|6858.0|0|6858.0|0|108.0|0|0.0|100
0|2021-11-15|6869.0|0|6869.0|0|109.0|0|0.0|100
0|2021-11-16|6873.0|0|6873.0|0|109.0|0|0.0|100
0|2021-11-17|6889.0|0|6889.0|0|109.0|0|0.0|100
0|2021-11-18|6903.0|0|6903.0|0|109.0|0|0.0|100
0|2021-11-19|6919.0|0|6919.0|0|109.0|0|0.0|100
0|2021-11-20|6919.0|0|6919.0|0|109.0|0|0.0|100
0|2021-11-21|6919.0|0|6919.0|0|109.0|0|0.0|100
0|2021-11-22|6958.0|0|6958.0|0|109.0|0|0.0|100
0|2021-11-23|6964.0|0|6964.0|0|109.0|0|0.0|100
0|2021-11-24|6970.0|0|6970.0|0|109.0|0|0.0|100
0|2021-11-25|6970.0|0|6970.0|0|109.0|0|0.0|100
0|2021-11-26|6970.0|0|6970.0|0|109.0|0|0.0|100
0|2021-11-27|6970.0|0|6970.0|0|109.0|0|0.0|100
0|2021-11-28|6970.0|0|6970.0|0|109.0|0|0.0|100
0|2021-11-29|6990.0|0|6990.0|0|109.0|0|0.0|100
