|dates|Hampden_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hampden_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hampden_Massachusetts_UnitedStates.Male_Total_Population.data|Hampden_Massachusetts_UnitedStates.Male_Total_Population.missing|Hampden_Massachusetts_UnitedStates.Female_Total_Population.data|Hampden_Massachusetts_UnitedStates.Female_Total_Population.missing|Hampden_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Hampden_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-18|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-19|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-20|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-21|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-22|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-23|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-24|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-25|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-26|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-27|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-28|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-29|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-30|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-10-31|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-01|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-02|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-03|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-04|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-05|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-06|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-07|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-08|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-09|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-10|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-11|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-12|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-13|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-14|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-15|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-16|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-17|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-18|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-19|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-20|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-21|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-22|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-23|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-24|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-25|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-26|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-27|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-28|79049.0|0|227388.0|0|243018.0|0|101140.0|0
0|2021-11-29|79049.0|0|227388.0|0|243018.0|0|101140.0|0
