|dates|Gila_Arizona_UnitedStates.JHU_ConfirmedCases.data|Gila_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Gila_Arizona_UnitedStates.NYT_ConfirmedCases.data|Gila_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Gila_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Gila_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Gila_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Gila_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9332.0|0|9332.0|0|248.0|0|0.0|100
0|2021-10-18|9332.0|0|9332.0|0|248.0|0|0.0|100
0|2021-10-19|9396.0|0|9396.0|0|253.0|0|0.0|100
0|2021-10-20|9447.0|0|9447.0|0|254.0|0|0.0|100
0|2021-10-21|9498.0|0|9498.0|0|254.0|0|0.0|100
0|2021-10-22|9567.0|0|9567.0|0|255.0|0|0.0|100
0|2021-10-23|9591.0|0|9591.0|0|256.0|0|0.0|100
0|2021-10-24|9619.0|0|9619.0|0|256.0|0|0.0|100
0|2021-10-25|9620.0|0|9620.0|0|256.0|0|0.0|100
0|2021-10-26|9629.0|0|9629.0|0|261.0|0|0.0|100
0|2021-10-27|9693.0|0|9693.0|0|261.0|0|0.0|100
0|2021-10-28|9708.0|0|9708.0|0|260.0|0|0.0|100
0|2021-10-29|9750.0|0|9750.0|0|260.0|0|0.0|100
0|2021-10-30|9798.0|0|9798.0|0|261.0|0|0.0|100
0|2021-10-31|9809.0|0|9809.0|0|261.0|0|0.0|100
0|2021-11-01|9815.0|0|9815.0|0|261.0|0|0.0|100
0|2021-11-02|9849.0|0|9849.0|0|261.0|0|0.0|100
0|2021-11-03|9900.0|0|9900.0|0|266.0|0|0.0|100
0|2021-11-04|9948.0|0|9948.0|0|266.0|0|0.0|100
0|2021-11-05|10009.0|0|10009.0|0|266.0|0|0.0|100
0|2021-11-06|10049.0|0|10049.0|0|267.0|0|0.0|100
0|2021-11-07|10095.0|0|10095.0|0|267.0|0|0.0|100
0|2021-11-08|10108.0|0|10108.0|0|267.0|0|0.0|100
0|2021-11-09|10138.0|0|10138.0|0|267.0|0|0.0|100
0|2021-11-10|10138.0|0|10193.0|0|267.0|0|0.0|100
0|2021-11-11|10266.0|0|10266.0|0|268.0|0|0.0|100
0|2021-11-12|10328.0|0|10328.0|0|268.0|0|0.0|100
0|2021-11-13|10380.0|0|10380.0|0|268.0|0|0.0|100
0|2021-11-14|10404.0|0|10404.0|0|268.0|0|0.0|100
0|2021-11-15|10461.0|0|10461.0|0|268.0|0|0.0|100
0|2021-11-16|10483.0|0|10483.0|0|269.0|0|0.0|100
0|2021-11-17|10526.0|0|10526.0|0|269.0|0|0.0|100
0|2021-11-18|10610.0|0|10610.0|0|269.0|0|0.0|100
0|2021-11-19|10689.0|0|10689.0|0|270.0|0|0.0|100
0|2021-11-20|10743.0|0|10743.0|0|271.0|0|0.0|100
0|2021-11-21|10786.0|0|10786.0|0|271.0|0|0.0|100
0|2021-11-22|10805.0|0|10805.0|0|271.0|0|0.0|100
0|2021-11-23|10816.0|0|10816.0|0|275.0|0|0.0|100
