|dates|Nelson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Nelson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Nelson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Nelson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Nelson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Nelson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Nelson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Nelson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8134.0|0|8134.0|0|77.0|0|0.0|100
0|2021-10-18|8164.0|0|8164.0|0|81.0|0|0.0|100
0|2021-10-19|8191.0|0|8191.0|0|82.0|0|0.0|100
0|2021-10-20|8216.0|0|8216.0|0|82.0|0|0.0|100
0|2021-10-21|8233.0|0|8233.0|0|82.0|0|0.0|100
0|2021-10-22|8252.0|0|8252.0|0|85.0|0|0.0|100
0|2021-10-23|8252.0|0|8252.0|0|85.0|0|0.0|100
0|2021-10-24|8252.0|0|8252.0|0|85.0|0|0.0|100
0|2021-10-25|8271.0|0|8271.0|0|87.0|0|0.0|100
0|2021-10-26|8281.0|0|8281.0|0|87.0|0|0.0|100
0|2021-10-27|8306.0|0|8306.0|0|87.0|0|0.0|100
0|2021-10-28|8319.0|0|8319.0|0|88.0|0|0.0|100
0|2021-10-29|8335.0|0|8335.0|0|88.0|0|0.0|100
0|2021-10-30|8335.0|0|8335.0|0|88.0|0|0.0|100
0|2021-10-31|8335.0|0|8335.0|0|88.0|0|0.0|100
0|2021-11-01|8355.0|0|8355.0|0|90.0|0|0.0|100
0|2021-11-02|8378.0|0|8378.0|0|90.0|0|0.0|100
0|2021-11-03|8400.0|0|8400.0|0|90.0|0|0.0|100
0|2021-11-04|8416.0|0|8416.0|0|91.0|0|0.0|100
0|2021-11-05|8439.0|0|8439.0|0|93.0|0|0.0|100
0|2021-11-06|8439.0|0|8439.0|0|93.0|0|0.0|100
0|2021-11-07|8439.0|0|8439.0|0|93.0|0|0.0|100
0|2021-11-08|8456.0|0|8456.0|0|95.0|0|0.0|100
0|2021-11-09|8478.0|0|8478.0|0|95.0|0|0.0|100
0|2021-11-10|8478.0|0|8500.0|0|95.0|0|0.0|100
0|2021-11-11|8500.0|0|8500.0|0|96.0|0|0.0|100
0|2021-11-12|8525.0|0|8525.0|0|96.0|0|0.0|100
0|2021-11-13|8525.0|0|8525.0|0|96.0|0|0.0|100
0|2021-11-14|8525.0|0|8525.0|0|96.0|0|0.0|100
0|2021-11-15|8552.0|0|8552.0|0|97.0|0|0.0|100
0|2021-11-16|8572.0|0|8572.0|0|97.0|0|0.0|100
0|2021-11-17|8603.0|0|8603.0|0|97.0|0|0.0|100
0|2021-11-18|8631.0|0|8631.0|0|98.0|0|0.0|100
0|2021-11-19|8635.0|0|8635.0|0|99.0|0|0.0|100
0|2021-11-20|8635.0|0|8635.0|0|99.0|0|0.0|100
0|2021-11-21|8635.0|0|8635.0|0|99.0|0|0.0|100
0|2021-11-22|8674.0|0|8674.0|0|101.0|0|0.0|100
0|2021-11-23|8688.0|0|8688.0|0|101.0|0|0.0|100
0|2021-11-24|8712.0|0|8712.0|0|101.0|0|0.0|100
0|2021-11-25|8712.0|0|8712.0|0|101.0|0|0.0|100
0|2021-11-26|8712.0|0|8712.0|0|101.0|0|0.0|100
0|2021-11-27|8712.0|0|8712.0|0|101.0|0|0.0|100
0|2021-11-28|8712.0|0|8712.0|0|101.0|0|0.0|100
0|2021-11-29|8764.0|0|8764.0|0|101.0|0|0.0|100
0|2021-11-30|8804.0|0|8804.0|0|101.0|0|0.0|100
0|2021-12-01|8844.0|0|8844.0|0|101.0|0|0.0|100
0|2021-12-02|8844.0|0|8882.0|0|101.0|0|0.0|100
0|2021-12-03|8906.0|0|8906.0|0|101.0|0|0.0|100
0|2021-12-04|8906.0|0|8906.0|0|101.0|0|0.0|100
0|2021-12-05|8906.0|0|8906.0|0|101.0|0|0.0|100
0|2021-12-06|8961.0|0|8961.0|0|104.0|0|0.0|100
0|2021-12-07|8990.0|0|8990.0|0|104.0|0|0.0|100
0|2021-12-08|9053.0|0|9053.0|0|107.0|0|0.0|100
0|2021-12-09|9088.0|0|9088.0|0|107.0|0|0.0|100
0|2021-12-10|9111.0|0|9111.0|0|107.0|0|0.0|100
0|2021-12-11|9111.0|0|9111.0|0|107.0|0|0.0|100
0|2021-12-12|9111.0|0|9111.0|0|107.0|0|0.0|100
0|2021-12-13|9168.0|0|9168.0|0|107.0|0|0.0|100
0|2021-12-14|9168.0|0|9210.0|0|107.0|0|0.0|100
0|2021-12-15|9256.0|0|9256.0|0|107.0|0|0.0|100
0|2021-12-16|9278.0|0|9278.0|0|107.0|0|0.0|100
0|2021-12-17|9308.0|0|9308.0|0|107.0|0|0.0|100
0|2021-12-18|9308.0|0|9308.0|0|107.0|0|0.0|100
0|2021-12-19|9308.0|0|9308.0|0|107.0|0|0.0|100
0|2021-12-20|9350.0|0|9350.0|0|108.0|0|0.0|100
0|2021-12-21|9399.0|0|9399.0|0|108.0|0|0.0|100
0|2021-12-22|9430.0|0|9430.0|0|109.0|0|0.0|100
0|2021-12-23|9430.0|0|9430.0|0|109.0|0|0.0|100
0|2021-12-24|9430.0|0|9430.0|0|109.0|0|0.0|100
0|2021-12-25|9430.0|0|9430.0|0|109.0|0|0.0|100
0|2021-12-26|9430.0|0|9430.0|0|109.0|0|0.0|100
0|2021-12-27|9527.0|0|9527.0|0|110.0|0|0.0|100
0|2021-12-28|9589.0|0|9589.0|0|110.0|0|0.0|100
0|2021-12-29|9636.0|0|9636.0|0|110.0|0|0.0|100
0|2021-12-30|9636.0|0|9636.0|0|110.0|0|0.0|100
0|2021-12-31|9636.0|0|9636.0|0|110.0|0|0.0|100
0|2022-01-01|9636.0|0|9636.0|0|110.0|0|0.0|100
0|2022-01-02|9636.0|0|9636.0|0|110.0|0|0.0|100
0|2022-01-03|9835.0|0|9835.0|0|111.0|0|0.0|100
0|2022-01-04|9941.0|0|9941.0|0|111.0|0|0.0|100
0|2022-01-05|10072.0|0|10072.0|0|111.0|0|0.0|100
0|2022-01-06|10175.0|0|10175.0|0|112.0|0|0.0|100
0|2022-01-07|10256.0|0|10256.0|0|112.0|0|0.0|100
0|2022-01-08|10256.0|0|10256.0|0|112.0|0|0.0|100
0|2022-01-09|10256.0|0|10256.0|0|112.0|0|0.0|100
0|2022-01-10|10440.0|0|10440.0|0|112.0|0|0.0|100
0|2022-01-11|10567.0|0|10567.0|0|116.0|0|0.0|100
0|2022-01-12|10685.0|0|10685.0|0|117.0|0|0.0|100
0|2022-01-13|10685.0|0|10792.0|0|117.0|0|0.0|100
0|2022-01-14|10926.0|0|10926.0|0|119.0|0|0.0|100
0|2022-01-15|10926.0|0|10926.0|0|119.0|0|0.0|100
0|2022-01-16|10926.0|0|10926.0|0|119.0|0|0.0|100
0|2022-01-17|10926.0|0|0.0|100|119.0|0|0.0|100
