|dates|Sutton_Texas_UnitedStates.JHU_ConfirmedCases.data|Sutton_Texas_UnitedStates.JHU_ConfirmedCases.missing|Sutton_Texas_UnitedStates.NYT_ConfirmedCases.data|Sutton_Texas_UnitedStates.NYT_ConfirmedCases.missing|Sutton_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Sutton_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Sutton_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Sutton_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-10-18|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-10-19|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-10-20|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-10-21|610.0|0|610.0|0|11.0|0|0.0|100
0|2021-10-22|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-23|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-24|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-25|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-26|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-27|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-28|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-29|611.0|0|611.0|0|11.0|0|0.0|100
0|2021-10-30|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-10-31|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-11-01|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-11-02|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-11-03|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-11-04|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-11-05|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-11-06|612.0|0|612.0|0|11.0|0|0.0|100
0|2021-11-07|613.0|0|613.0|0|11.0|0|0.0|100
0|2021-11-08|614.0|0|614.0|0|11.0|0|0.0|100
0|2021-11-09|614.0|0|614.0|0|11.0|0|0.0|100
0|2021-11-10|614.0|0|614.0|0|11.0|0|0.0|100
0|2021-11-11|614.0|0|614.0|0|11.0|0|0.0|100
0|2021-11-12|614.0|0|614.0|0|11.0|0|0.0|100
0|2021-11-13|614.0|0|614.0|0|11.0|0|0.0|100
0|2021-11-14|616.0|0|616.0|0|11.0|0|0.0|100
0|2021-11-15|616.0|0|616.0|0|11.0|0|0.0|100
0|2021-11-16|616.0|0|616.0|0|11.0|0|0.0|100
0|2021-11-17|616.0|0|616.0|0|11.0|0|0.0|100
0|2021-11-18|616.0|0|616.0|0|11.0|0|0.0|100
0|2021-11-19|616.0|0|616.0|0|11.0|0|0.0|100
0|2021-11-20|618.0|0|618.0|0|11.0|0|0.0|100
0|2021-11-21|618.0|0|618.0|0|11.0|0|0.0|100
0|2021-11-22|618.0|0|618.0|0|11.0|0|0.0|100
0|2021-11-23|621.0|0|621.0|0|11.0|0|0.0|100
0|2021-11-24|622.0|0|622.0|0|11.0|0|0.0|100
0|2021-11-25|622.0|0|622.0|0|11.0|0|0.0|100
0|2021-11-26|622.0|0|622.0|0|11.0|0|0.0|100
0|2021-11-27|622.0|0|622.0|0|11.0|0|0.0|100
0|2021-11-28|622.0|0|622.0|0|11.0|0|0.0|100
0|2021-11-29|626.0|0|626.0|0|11.0|0|0.0|100
0|2021-11-30|626.0|0|626.0|0|11.0|0|0.0|100
0|2021-12-01|626.0|0|626.0|0|11.0|0|0.0|100
0|2021-12-02|630.0|0|630.0|0|11.0|0|0.0|100
0|2021-12-03|631.0|0|631.0|0|11.0|0|0.0|100
0|2021-12-04|631.0|0|633.0|0|11.0|0|0.0|100
0|2021-12-05|633.0|0|633.0|0|11.0|0|0.0|100
0|2021-12-06|633.0|0|633.0|0|11.0|0|0.0|100
0|2021-12-07|634.0|0|634.0|0|11.0|0|0.0|100
0|2021-12-08|634.0|0|634.0|0|11.0|0|0.0|100
0|2021-12-09|638.0|0|638.0|0|11.0|0|0.0|100
0|2021-12-10|643.0|0|643.0|0|11.0|0|0.0|100
0|2021-12-11|643.0|0|643.0|0|11.0|0|0.0|100
0|2021-12-12|643.0|0|643.0|0|11.0|0|0.0|100
0|2021-12-13|643.0|0|643.0|0|11.0|0|0.0|100
0|2021-12-14|643.0|0|643.0|0|11.0|0|0.0|100
0|2021-12-15|645.0|0|645.0|0|11.0|0|0.0|100
0|2021-12-16|645.0|0|645.0|0|11.0|0|0.0|100
0|2021-12-17|647.0|0|647.0|0|11.0|0|0.0|100
0|2021-12-18|647.0|0|647.0|0|11.0|0|0.0|100
0|2021-12-19|647.0|0|647.0|0|11.0|0|0.0|100
0|2021-12-20|647.0|0|647.0|0|11.0|0|0.0|100
0|2021-12-21|647.0|0|647.0|0|11.0|0|0.0|100
0|2021-12-22|648.0|0|648.0|0|11.0|0|0.0|100
0|2021-12-23|648.0|0|648.0|0|11.0|0|0.0|100
0|2021-12-24|648.0|0|648.0|0|11.0|0|0.0|100
0|2021-12-25|648.0|0|648.0|0|11.0|0|0.0|100
0|2021-12-26|648.0|0|648.0|0|11.0|0|0.0|100
0|2021-12-27|649.0|0|649.0|0|11.0|0|0.0|100
0|2021-12-28|649.0|0|649.0|0|11.0|0|0.0|100
0|2021-12-29|652.0|0|652.0|0|11.0|0|0.0|100
0|2021-12-30|655.0|0|655.0|0|11.0|0|0.0|100
0|2021-12-31|655.0|0|655.0|0|11.0|0|0.0|100
0|2022-01-01|655.0|0|655.0|0|11.0|0|0.0|100
0|2022-01-02|655.0|0|655.0|0|11.0|0|0.0|100
0|2022-01-03|660.0|0|660.0|0|11.0|0|0.0|100
0|2022-01-04|662.0|0|662.0|0|11.0|0|0.0|100
0|2022-01-05|665.0|0|665.0|0|11.0|0|0.0|100
0|2022-01-06|671.0|0|671.0|0|11.0|0|0.0|100
0|2022-01-07|672.0|0|672.0|0|11.0|0|0.0|100
0|2022-01-08|675.0|0|675.0|0|11.0|0|0.0|100
0|2022-01-09|675.0|0|675.0|0|11.0|0|0.0|100
0|2022-01-10|675.0|0|675.0|0|11.0|0|0.0|100
0|2022-01-11|681.0|0|681.0|0|11.0|0|0.0|100
0|2022-01-12|690.0|0|690.0|0|11.0|0|0.0|100
0|2022-01-13|690.0|0|700.0|0|11.0|0|0.0|100
0|2022-01-14|690.0|0|663.0|0|11.0|0|0.0|100
0|2022-01-15|668.0|0|668.0|0|11.0|0|0.0|100
0|2022-01-16|674.0|0|674.0|0|11.0|0|0.0|100
0|2022-01-17|674.0|0|0.0|100|11.0|0|0.0|100
