|dates|Sullivan_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Sullivan_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Sullivan_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Sullivan_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|569.0|0|569.0|0|24.0|0|0.0|100
0|2021-10-18|573.0|0|573.0|0|24.0|0|0.0|100
0|2021-10-19|574.0|0|574.0|0|24.0|0|0.0|100
0|2021-10-20|577.0|0|577.0|0|24.0|0|0.0|100
0|2021-10-21|579.0|0|579.0|0|24.0|0|0.0|100
0|2021-10-22|579.0|0|579.0|0|24.0|0|0.0|100
0|2021-10-23|581.0|0|581.0|0|24.0|0|0.0|100
0|2021-10-24|582.0|0|582.0|0|24.0|0|0.0|100
0|2021-10-25|583.0|0|583.0|0|24.0|0|0.0|100
0|2021-10-26|583.0|0|583.0|0|24.0|0|0.0|100
0|2021-10-27|583.0|0|583.0|0|24.0|0|0.0|100
0|2021-10-28|586.0|0|586.0|0|24.0|0|0.0|100
0|2021-10-29|587.0|0|587.0|0|24.0|0|0.0|100
0|2021-10-30|589.0|0|589.0|0|24.0|0|0.0|100
0|2021-10-31|589.0|0|589.0|0|24.0|0|0.0|100
0|2021-11-01|589.0|0|589.0|0|24.0|0|0.0|100
0|2021-11-02|591.0|0|591.0|0|24.0|0|0.0|100
0|2021-11-03|593.0|0|593.0|0|24.0|0|0.0|100
0|2021-11-04|594.0|0|594.0|0|24.0|0|0.0|100
0|2021-11-05|597.0|0|597.0|0|24.0|0|0.0|100
0|2021-11-06|599.0|0|599.0|0|24.0|0|0.0|100
0|2021-11-07|600.0|0|600.0|0|24.0|0|0.0|100
0|2021-11-08|600.0|0|600.0|0|24.0|0|0.0|100
0|2021-11-09|601.0|0|601.0|0|24.0|0|0.0|100
0|2021-11-10|601.0|0|607.0|0|24.0|0|0.0|100
0|2021-11-11|609.0|0|609.0|0|24.0|0|0.0|100
0|2021-11-12|610.0|0|610.0|0|24.0|0|0.0|100
0|2021-11-13|616.0|0|616.0|0|24.0|0|0.0|100
0|2021-11-14|619.0|0|619.0|0|24.0|0|0.0|100
