|dates|Hardin_Illinois_UnitedStates.JHU_ConfirmedCases.data|Hardin_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Hardin_Illinois_UnitedStates.NYT_ConfirmedCases.data|Hardin_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Hardin_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Hardin_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Hardin_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Hardin_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|594.0|0|594.0|0|16.0|0|0.0|100
0|2021-10-18|598.0|0|598.0|0|16.0|0|0.0|100
0|2021-10-19|601.0|0|601.0|0|16.0|0|0.0|100
0|2021-10-20|601.0|0|601.0|0|16.0|0|0.0|100
0|2021-10-21|606.0|0|606.0|0|16.0|0|0.0|100
0|2021-10-22|609.0|0|609.0|0|16.0|0|0.0|100
0|2021-10-23|609.0|0|609.0|0|16.0|0|0.0|100
0|2021-10-24|609.0|0|609.0|0|16.0|0|0.0|100
0|2021-10-25|615.0|0|615.0|0|16.0|0|0.0|100
0|2021-10-26|615.0|0|615.0|0|16.0|0|0.0|100
0|2021-10-27|619.0|0|619.0|0|16.0|0|0.0|100
0|2021-10-28|619.0|0|619.0|0|16.0|0|0.0|100
0|2021-10-29|619.0|0|619.0|0|16.0|0|0.0|100
0|2021-10-30|619.0|0|619.0|0|16.0|0|0.0|100
0|2021-10-31|619.0|0|619.0|0|16.0|0|0.0|100
0|2021-11-01|622.0|0|622.0|0|16.0|0|0.0|100
0|2021-11-02|622.0|0|622.0|0|16.0|0|0.0|100
0|2021-11-03|622.0|0|622.0|0|16.0|0|0.0|100
0|2021-11-04|623.0|0|623.0|0|16.0|0|0.0|100
0|2021-11-05|625.0|0|625.0|0|16.0|0|0.0|100
0|2021-11-06|625.0|0|625.0|0|16.0|0|0.0|100
0|2021-11-07|625.0|0|625.0|0|16.0|0|0.0|100
0|2021-11-08|628.0|0|628.0|0|16.0|0|0.0|100
0|2021-11-09|630.0|0|630.0|0|16.0|0|0.0|100
0|2021-11-10|630.0|0|630.0|0|16.0|0|0.0|100
0|2021-11-11|630.0|0|630.0|0|16.0|0|0.0|100
0|2021-11-12|635.0|0|635.0|0|16.0|0|0.0|100
0|2021-11-13|635.0|0|635.0|0|16.0|0|0.0|100
0|2021-11-14|635.0|0|635.0|0|16.0|0|0.0|100
0|2021-11-15|639.0|0|639.0|0|16.0|0|0.0|100
0|2021-11-16|641.0|0|641.0|0|16.0|0|0.0|100
0|2021-11-17|645.0|0|645.0|0|16.0|0|0.0|100
0|2021-11-18|647.0|0|647.0|0|16.0|0|0.0|100
0|2021-11-19|648.0|0|648.0|0|16.0|0|0.0|100
0|2021-11-20|648.0|0|648.0|0|16.0|0|0.0|100
0|2021-11-21|648.0|0|648.0|0|16.0|0|0.0|100
0|2021-11-22|654.0|0|654.0|0|16.0|0|0.0|100
0|2021-11-23|655.0|0|655.0|0|16.0|0|0.0|100
0|2021-11-24|656.0|0|656.0|0|16.0|0|0.0|100
